source_id,ra,dec,pmra,pmdec,parallax,pmra_error,pmdec_error,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,ruwe,non_single_star
53960873892756480,61.94195848410404,23.95102194046664,17.010009996503804,-6.061576535819744,4.161898972643563,0.06596188,0.048157975,0.062323518,16.297651,17.602398,15.177665,2.4247332,1508.3315,67.08787,346.10468,1.398938,1.0090184,0
53981111776761984,61.53223901941699,23.900517031455184,47.91014999942016,-193.2956667424348,9.70392637248462,0.31360877,0.16443938,0.25365642,18.324917,20.503166,16.923742,3.579424,511.55557,11.811679,136.26686,1.6275011,1.0474688,0
53986952934335744,61.63556701744688,23.97867003328557,79.14699360948839,-76.84511879885194,5.080999662494617,0.0511512,0.02544926,0.04085087,15.238486,16.43289,14.161046,2.271844,2734.4888,384.1542,1242.1322,1.3768849,1.068271,0
53990251469061504,61.68330229283932,24.0993783674187,51.92423726746861,-45.0595678201068,6.9059557833270855,0.1118618,0.07220805,0.0995558,17.181799,19.184357,15.870917,3.3134394,1098.7504,36.670006,347.31085,1.5225441,0.9913702,0
56997072173128320,54.89489640588001,19.37564016145895,2.726077117328761,-15.782317220496717,5.043101169584769,0.024073059,0.018786684,0.024160676,14.096298,14.936503,13.198346,1.7381573,1749.7965,537.0987,736.58386,1.2969744,0.9962459,0
57033493495794432,55.58205423784707,19.43222681179843,76.74231218522782,-254.2514078927228,12.767574591972345,0.17761087,0.13118427,0.14025506,17.66107,19.996738,16.294268,3.7024708,658.3349,20.802197,138.17609,1.5666592,0.886784,0
57133171096663552,55.609449105948,19.90851915708499,-13.386894398344758,-34.18131057278676,4.2806308841975,0.042214137,0.024962408,0.040296603,13.535747,14.357793,12.650019,1.7077742,5186.6523,835.0139,2297.639,1.2918413,2.0408645,1
57269647977774592,53.94875032607996,19.84407935172648,-11.729477221551647,-39.82761435335216,5.593039434711017,0.018990153,0.014217782,0.01785326,11.661412,12.104361,11.056254,1.0481062,3270.3518,940.85016,1921.2858,1.2172489,1.0029154,0
57287308883307136,54.88896885538372,19.678172848696995,2.367959787065134,-19.4825764008085,4.125294309945941,0.040344324,0.03196214,0.03508866,10.746578,11.083046,10.241093,0.8419533,5772.3745,2463.4956,3244.4866,1.2024758,1.9829298,0
57294077751481856,55.00575305787473,19.787703750655133,99.00240050466218,-78.56638986821733,4.753313252035128,0.021821138,0.017360665,0.017488297,11.258758,11.64185,10.697096,0.9447546,5727.7246,2000.9575,3066.9797,1.2157207,0.92172045,0
58034220876086144,53.85027209004109,20.148837990010144,71.89869535888013,-60.80421941133393,5.679620042063313,0.106082216,0.08908666,0.10252749,17.443027,19.067486,16.217669,2.8498173,934.3966,28.4896,286.15497,1.4636722,1.0004771,0
58122108790544768,53.32669427775474,20.62023635636784,47.927083268118906,-50.88418913870448,4.024537147876484,0.4053215,0.34895787,0.3294186,19.09533,20.802122,17.82381,2.9783115,372.8664,10.482233,58.25246,1.508324,1.1545073,0
