source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,ruwe
660949326022498688,131.31097900957957,18.81929391709788,2.463331967065544,0.016574025,12.657174,5337.9194,12.998697,2057.8484,12.158982,2759.5212,1.1955159,0.839715,0.92417073
661039348536857088,130.8523355653447,19.35295092530479,0.5740561716809499,0.03008335,15.09692,4530.7515,15.411715,652.68317,14.613438,1015.5233,1.1997498,0.7982769,1.0229708
661039417256333056,130.84722574836655,19.364893284860408,0.828329898108878,0.05079546,16.143417,2966.561,16.532747,375.8654,15.58943,580.9362,1.2078273,0.9433174,0.9871916
661039516039455360,130.85596964136258,19.368114098588066,0.1992793989729314,0.13083054,17.864458,1166.1399,18.35434,95.67576,17.231806,117.426895,1.2156969,1.1225338,0.9726387
661042337834096000,130.82302669893434,19.36760179885167,1.0087745230942449,0.015720643,13.258828,3336.7266,13.571932,898.7385,12.779828,1301.4176,1.197889,0.79210377,1.0405478
661042337834096384,130.82163719696098,19.365398319849433,1.7234716453393417,0.019839106,13.962345,5659.2466,14.298693,1397.0071,13.345151,1789.6881,1.2751955,0.95354176,1.0263749
661042612712003712,130.80144123441852,19.374272987443707,1.226919591453709,0.07120231,16.87672,1915.0936,17.613178,119.64503,16.044376,340.09167,1.2740767,1.5688019,0.99067754
661039172442069888,130.89786846734697,19.3449447404437,-0.12100092236095698,0.12189716,17.67144,1325.2202,18.102776,125.023895,17.088022,169.86578,1.2078652,1.0147533,0.9753787
661132321692618880,130.94497634103985,19.361601484655765,1.6547387815711774,0.09673697,17.321482,1590.3046,18.304787,81.60897,16.340399,305.0133,1.3322583,1.9643879,1.0265827
661132429067945984,130.9470052299587,19.37066672760736,0.5818067872492145,0.093642324,17.230549,1633.3734,17.760668,191.3527,16.558838,256.1523,1.226504,1.2018299,1.0267941
661133425500359040,130.890431573089,19.406807968325584,5.414714381824961,0.29591894,17.44463,273.73914,19.17817,42.46014,16.015198,381.22375,1.7172163,3.1629715,2.798824
661133631658786816,130.96447136226388,19.4100086176533,0.9843772166442248,0.08637585,14.65054,2418.7175,14.986175,1108.1768,14.131619,1256.5488,1.2112328,0.85455513,3.430573
661136998913146752,130.90819288065387,19.459666528532587,0.7394496764472365,0.015640698,13.219484,4895.08,13.419321,1800.4158,12.8785925,2356.4285,1.1794964,0.54072857,1.0379379
661136341782043904,130.86572975714896,19.3964222367361,0.2898675329993176,0.09713473,17.33068,1655.1842,17.677692,118.645584,16.827452,190.84372,1.1959432,0.8502407,0.97256434
661136964553408896,130.89773015800122,19.456490742471242,5.344358666768182,0.12388756,17.637907,1069.7955,19.4422,34.373203,16.367481,298.3797,1.4940237,3.0747185,1.0341936
661133872176956032,130.93318457907728,19.42514181897729,0.9092075318229185,0.028108666,14.971409,5487.71,15.347971,581.43896,14.432565,1195.6158,1.2041099,0.9154062,0.97593033
661039485975808000,130.8826227366201,19.372070879701614,4.1107100234008795,0.041361034,15.7022505,2792.4685,16.74054,314.18774,14.693208,791.3404,1.3448863,2.0473318,1.0082247
661132291628994432,130.9230855922351,19.344539026588528,1.5323510288501039,0.11799675,17.645353,1352.7921,18.39365,84.47218,16.80511,186.95998,1.2767001,1.5885391,0.95090604
661133047543238016,130.9181585615034,19.363204062551663,0.29812811214259455,0.0478429,15.902391,3261.067,16.201254,344.02756,15.436307,640.27783,1.1973273,0.76494694,1.0162518
661042269114620672,130.7761388412379,19.374415355591356,0.3244751503628111,0.07725983,17.05061,1876.9604,17.326736,164.17038,16.60376,196.51538,1.1976254,0.7229767,0.9510034
661025226684458496,130.98576685019145,19.25497740539786,0.3700543043088898,0.112445265,17.509735,1422.8003,18.055038,119.073906,16.83881,201.20161,1.2197578,1.2162285,0.96455306
661025742080466560,130.92561310781528,19.245338318208812,0.06582201029493534,0.032669045,15.174764,4602.8438,15.787004,546.0603,14.427111,829.69116,1.2506975,1.3598938,0.99186313
661025776440205440,130.90196225329402,19.25313527486545,0.35229218022578146,0.03838125,15.36357,3562.154,15.648163,735.3352,14.913588,764.595,1.1950943,0.7345753,1.0177797
661035981282502912,130.84563283637289,19.251477341524875,1.0683055990950074,0.10287461,17.253967,1615.1818,17.97699,84.12521,16.431469,230.23502,1.2704811,1.5455208,0.96027964
