source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,ruwe,membership_probability,hr23_ruwe,hr23_nss
5337842878019390592,167.15740668731758,-59.630533990549516,2.037508305969254,0.038291354,16.339611,1969.5387,17.231426,237.08357,15.41178,837.08124,1.3083014,1.8196459,0.9560753,0.700935461376817,0.9560753,0.0
5337878474711464320,167.18959197864322,-59.3475489420844,2.035918354155371,0.018943368,14.647108,3702.354,15.159605,741.4411,13.983582,1234.876,1.2279186,1.1760235,0.9481003,0.722160199608645,0.9481003,0.0
5337880742453996416,167.1965671131886,-59.265019901089424,2.05888159422743,0.030900013,15.813695,476.9692,16.566662,110.361916,14.971185,175.95393,1.2770468,1.5954771,1.0123899,0.798176285653187,1.0123899,0.0
5337881322245000704,167.22203653573905,-59.20912996413096,2.1390456274836804,0.13748552,18.440533,565.07776,19.92729,33.162304,17.286814,175.54297,1.4025477,2.6404762,0.9730813,0.707800342617509,0.9730813,0.0
5337882013764376448,167.1000580610438,-59.184827116613626,2.0988974318302844,0.021369267,14.806269,2182.0938,15.346309,479.83417,14.117752,822.2195,1.2346461,1.2285566,1.0485227,0.779758860993879,1.0485227,0.0
5337882391721514624,167.08602130476262,-59.170303705932355,2.0947472136846126,0.043782767,16.294128,463.58057,17.162573,112.38861,15.37316,180.49757,1.3090081,1.7894125,1.0343463,0.81672092425897,1.0343463,0.0
5337882524811915520,167.10562978313519,-59.14800142283914,2.0859854873345043,0.0116464235,12.304786,4102.8115,12.567975,1464.3085,11.882487,1820.7113,1.1901636,0.68548775,0.789194,0.759093781880145,0.789194,0.0
5337883422502199040,167.52791686524833,-59.20663617401154,2.0894122329668785,0.23875476,19.349823,377.98093,21.054337,12.34296,18.108656,58.94121,1.4712098,2.9456806,1.0327888,0.725859853529156,1.0327888,0.0
5337885896415818112,167.4994972793095,-59.081653236667094,2.1219329648396337,0.013896209,10.643674,4214.4883,10.750023,2042.0875,10.446321,5132.3755,1.1623912,0.30370235,0.8048594,0.728709433219687,0.8048594,0.0
5337885896415822592,167.4845377268895,-59.07463052019119,2.0700318867438803,0.039066684,15.966756,2311.0457,16.770176,283.79657,15.08503,729.4104,1.2942256,1.6851463,1.0424669,0.824151769658409,1.0424669,0.0
5337886480531300480,167.3680187732662,-59.07077579040387,2.1002295189926663,0.015588872,10.126357,3565.6455,10.195312,2014.9474,9.984013,3210.379,1.1604927,0.21129894,0.7666185,0.851154046058966,0.7666185,0.0
5337888267237442688,167.15147063199362,-59.12126268271301,2.080816585593984,0.020093467,14.726794,4703.3774,15.278045,779.13855,14.025572,1274.7975,1.2394581,1.2524729,1.0197669,0.789646676150216,1.0197669,0.0
5337889126231023744,167.14344783437124,-59.05205727181256,2.0741449287992366,0.014337052,11.131582,3403.9326,11.305355,1760.5063,10.832676,3084.4412,1.1722978,0.47267914,0.7962087,0.728070842780265,0.7962087,2.0
5337890260102624768,167.29653735790754,-58.996756827574366,2.088851582107892,0.0145248445,13.241127,3422.7551,13.577823,983.4914,12.7383,1732.7461,1.200724,0.83952236,0.8926254,0.794483867609893,0.8926254,0.0
5337890638059585536,167.16038776594613,-59.0238071887173,2.0705563622470793,0.039005063,15.817885,2087.9963,16.56947,302.3771,14.9498,670.6692,1.2993075,1.6196699,1.2807161,0.735961710075321,1.2807161,0.0
5337890706779042944,167.11278350841678,-59.01589850880948,2.1167597744189854,0.019359862,14.550223,3064.4805,15.05599,546.49963,13.895773,769.8319,1.224275,1.1602173,0.9911911,0.790418728306229,0.9911911,0.0
5337891290894750464,167.13552936544897,-58.95306663771397,2.0582632159433576,0.016001431,11.216072,2282.7053,11.380368,761.9202,10.903316,330.0331,1.1848322,0.4770527,0.82806575,0.726548154893229,0.82806575,0.0
5337891355267992704,167.1838930237704,-58.945838127643995,2.1080106928470643,0.01361621,13.535265,2056.9792,13.891743,386.9655,12.988827,448.40088,1.2185357,0.90291595,0.881134,0.737182062734569,0.881134,0.0
5338521551573999872,165.90008450513372,-59.51068247259586,2.0734927470525766,0.031638842,15.765677,1885.224,16.501833,214.21837,14.916262,592.06476,1.2885385,1.5855713,1.0206213,0.712252047906229,1.0206213,0.0
5338523711888399488,165.98286864839005,-59.42191682037469,2.070563935677427,0.020303497,12.270121,4701.633,12.549975,1417.7339,11.827824,2211.087,1.1930406,0.72215176,1.7358115,0.700275298095453,1.7358115,3.0
5338574877892681216,165.4557126556467,-59.274263345361064,2.070158046206388,0.022459727,14.989038,2533.9116,15.57201,626.14667,14.241011,800.3295,1.2622623,1.3309994,1.0439101,0.703166537637195,1.0439101,0.0
5338596146558739584,166.78344092993464,-59.54933044736412,2.0448496821799167,0.015557095,14.453334,1952.4447,14.93366,481.80273,13.811453,741.68604,1.2262131,1.1222067,0.92015404,0.738167379734327,0.92015404,0.0
5338601090018352640,166.4257467815352,-59.4640942405606,2.0528917207445994,0.10820693,17.937918,795.23553,19.265673,43.353886,16.793095,250.07607,1.4216888,2.472578,0.9447645,0.719662897625799,0.9447645,0.0
5338604392850921984,166.84112498160366,-59.415930202895005,2.029981865740545,0.06513212,17.078045,946.27673,17.839619,148.25359,15.8568125,375.0252,1.6559142,1.9828062,1.1366125,0.728133429580752,1.1366125,0.0
5338605870365437824,166.74713938056613,-59.357189991021926,2.0953445660353096,0.019568956,14.7994585,2512.8894,15.345194,726.26514,14.1007595,973.29095,1.2398162,1.2444344,0.9609164,0.734326710314177,0.9609164,0.0
5338611952039310976,166.52488413025785,-59.20426683968233,2.0736209226326427,0.06844315,17.317526,1084.6879,18.340778,62.61402,16.162151,110.09263,1.5026026,2.178627,0.9925463,0.77586888921425,0.9925463,0.0
5338612329996620288,166.60722867248182,-59.159468819841756,2.067850228754366,0.011887664,12.749434,2926.5603,13.048425,908.71967,12.288834,1359.6073,1.1940049,0.7595911,0.9005383,0.861332011131284,0.9005383,0.0
5338615456733445248,166.33445345881913,-59.315498681309926,2.064720281492886,0.039682362,16.26845,1671.2151,17.09562,153.07181,15.318768,301.02585,1.3479835,1.7768517,1.0354187,0.740313814963332,1.0354187,0.0
5338618308591464320,165.97995303200025,-59.321962604765645,2.0637219842753556,0.018840035,14.774704,4048.4912,15.325988,814.5544,14.076619,904.54016,1.2371274,1.2493687,0.9240146,0.769172100756566,0.9240146,0.0
5338619786060507136,166.12402775576354,-59.22756748394538,2.1000525331154125,0.016573459,14.399715,1785.9344,14.878972,443.432,13.763322,706.75684,1.22284,1.1156502,0.96182424,0.726465962815965,0.96182424,0.0
5338621263529296128,166.0050507176828,-59.166558378952395,2.0502396656880566,0.01388096,14.020363,2821.2664,14.440683,598.80005,13.435315,926.0803,1.2139179,1.0053682,0.92965895,0.740236207381441,0.92965895,0.0
5338622844077708416,166.29818182657615,-59.207642611210524,2.083536746124542,0.024564605,15.503311,1053.5673,16.173792,242.0642,14.709794,362.77216,1.2653068,1.4639978,0.9696796,0.765111022561733,0.9696796,0.0
5338623531272568832,166.25705266376508,-59.15325657810118,2.075657240591985,0.09030244,17.777489,764.5282,19.254942,44.59186,16.602829,264.7956,1.4278592,2.652113,0.9872618,0.829841107286745,0.9872618,0.0
5338623767446093312,166.46778872412432,-59.176725573674275,2.0582567675720327,0.022766605,12.502772,3885.3938,12.776619,1062.6989,12.055466,1310.9309,1.1990759,0.72115326,1.7368997,0.733872767890864,1.7368997,0.0
5338624390266300416,166.4675852845017,-59.11605912002562,2.078584963685956,0.012612625,11.184884,3813.7808,11.350505,1500.6704,10.892486,2721.5886,1.1736422,0.45801926,0.69704485,0.826637216685756,0.69704485,0.0
5338624768183688832,166.4331338598391,-59.085095428379056,2.070261369115766,0.08146423,17.599176,826.5198,18.720125,57.42588,16.315086,218.72496,1.6318401,2.4050388,1.0656468,0.839783050001926,1.0656468,0.0
5338624798238236800,166.41661245101307,-59.07610634425251,2.085772743346587,0.009377288,12.175345,6004.4014,12.426825,2153.4517,11.7671585,2385.8318,1.188315,0.65966606,0.80006593,0.914786752927331,0.80006593,0.0
5338625283619443840,166.31276941783474,-59.082678048807246,2.0270996162539916,0.02032857,9.097158,4002.3474,9.099182,2458.921,9.06371,2455.7302,1.1579705,0.035471916,0.93791014,0.731787844451294,0.93791014,0.0
5338625691594840192,166.33362379008824,-59.06816465536254,2.051687376211975,0.06466397,17.318958,1009.9362,18.511606,75.51068,16.258814,245.98688,1.359331,2.2527924,0.992326,0.703289561934602,0.992326,0.0
5338625833375389056,166.3424863089289,-59.03988471564706,2.097116814782134,0.021648113,15.100959,3066.6438,15.695695,360.50473,14.362243,822.79974,1.2505348,1.3334522,0.953436,0.795863598087673,0.953436,0.0
5338625829030385280,166.33622378001616,-59.03714863250189,2.1193977798028056,0.019658789,10.222433,2795.5852,10.289949,2625.319,10.091331,3642.5574,1.1564515,0.19861889,1.1598161,0.776578095840549,1.1598161,0.0
5338626692368561280,166.19950103621872,-59.10555390376541,2.098156234396165,0.04350024,16.592575,692.79724,17.561516,140.7996,15.624178,282.03094,1.3240942,1.9373379,1.0019611,0.744720934561893,1.0019611,0.0
5338627482642467968,166.04105898907227,-59.08255362599011,2.08273607560752,0.016051408,14.406449,2165.1152,14.883526,505.7872,13.769864,734.4256,1.2239103,1.1136618,0.9534776,0.805356291947755,0.9534776,0.0
5338628753953058560,166.2509785752168,-59.0450507186251,2.1067105283208774,0.019378165,13.259099,3436.8228,13.593421,748.9039,12.752957,1107.7308,1.2039337,0.84046364,1.744163,0.743703668527603,1.744163,1.0
5338628857032366208,166.27873772365672,-59.01674171377676,2.090365915891349,0.017542094,9.006625,3835.2266,9.012467,2889.3875,8.969806,2927.6555,1.1567795,0.042661667,0.79916006,0.847044336610775,0.79916006,0.0
5338628887047097856,166.24328915782564,-59.018109785235744,2.0851693519225516,0.02543842,7.726522,3218.1194,7.727192,1257.8733,7.6844497,1980.879,1.1623359,0.042742252,0.9255321,0.869526169359644,0.9255321,0.0
5338628955767765248,166.2050752746873,-59.01849316877169,2.0758832339485473,0.01327835,13.634329,1753.045,14.011689,496.66226,13.0863695,652.95807,1.2095624,0.9253197,0.98055524,0.811577052130382,0.98055524,0.0
5338629200629763456,166.2054943909129,-58.97957086239084,2.078270891193911,0.013481867,10.388507,3462.3499,10.475289,2031.0917,10.224682,3735.5928,1.1589977,0.2506075,0.7746523,0.728227686655016,0.7746523,0.0
5338629539886503936,166.08210251969646,-59.02204854164274,2.0681162326272613,0.10993716,18.178104,817.69763,19.525883,39.750477,17.036055,198.26578,1.4147079,2.489828,1.0649318,0.706750181857839,1.0649318,0.0
5338629819105015424,166.1538416711918,-58.98348859817988,2.0795196390187045,0.010193138,12.197878,4428.127,12.456565,1741.1202,11.782871,2262.2249,1.1883718,0.67369366,0.8739144,0.890223578371737,0.8739144,0.0
5338630162702473728,166.06633047461497,-58.958231996538736,2.048967627841459,0.012613151,11.534494,4706.7485,11.731867,2495.883,11.2003145,3530.0234,1.1773163,0.5315523,0.765807,0.733671213003965,0.765807,0.0
5338630781178115712,166.92658895981268,-59.229617296901935,2.0631078130626506,0.025473908,15.41736,2616.9165,16.08628,329.12372,14.631205,901.0956,1.2599617,1.4550762,0.988648,0.761513620849155,0.988648,0.0
5338631743212243456,166.79871087136524,-59.20200756086019,2.0683027697458587,0.16149819,18.353407,228.06187,18.803442,11.545126,16.887571,37.42121,2.1029856,1.9158707,1.0608879,0.808273960402049,1.0608879,0.0
5338632705323784832,167.04415231515836,-59.16061057121192,2.077760885973101,0.021077199,14.907942,2997.224,15.474607,626.1235,14.19352,919.9232,1.2431264,1.2810879,0.9034108,0.711478354455395,0.9034108,0.0
5338633152000442240,166.99487062362994,-59.12478666425342,2.107168125866778,0.01545107,13.953801,2729.1648,14.370472,754.2544,13.374265,866.82245,1.2119222,0.99620724,0.9159881,0.745688329089379,0.9159881,0.0
5338633736115861120,166.8722716467917,-59.12643615118484,2.056013021428687,0.012368442,12.769644,3755.401,13.066778,1003.84424,12.311791,1378.2866,1.1933199,0.75498676,0.8359437,0.721013633994623,0.8359437,0.0
5338634217152385792,166.92393935049682,-59.08229805920452,2.1083677725004706,0.013893995,13.573385,2153.0176,13.942361,690.90454,13.040618,933.4605,1.2038454,0.90174294,0.9385543,0.731954443898262,0.9385543,0.0
5338634247170631040,166.90080516541806,-59.08381579514642,2.1188637898227567,0.086359344,17.642536,1057.3524,18.98384,62.442337,16.517591,278.93137,1.3971239,2.4662495,1.0061237,0.774190913345977,1.0061237,0.0
5338634526389998848,166.82094439342114,-59.056389501671696,2.0892830337844432,0.012950803,13.123357,3193.6482,13.447489,1121.2924,12.622927,1407.721,1.2054392,0.8245621,1.0945115,0.813429978928136,1.0945115,0.0
5338635213584387072,166.66328757477936,-59.13005384254025,2.0954561610534017,0.0128421895,13.234616,2391.7803,13.574685,680.53253,12.731446,740.7218,1.1992861,0.84323883,0.9329155,0.745960720265702,0.9329155,0.0
5338635660261078272,166.6712995323499,-59.09858063598671,2.0758789039002314,0.041227363,16.34608,2046.3082,17.207405,186.71074,15.408211,345.203,1.3265777,1.7991943,0.97856975,0.857851851627474,0.97856975,0.0
5338635758994803456,166.68059890017977,-59.08007118595489,2.0859833775507073,0.014163205,11.636405,6103.338,11.842991,2104.1887,11.285642,3694.6028,1.1810199,0.5573492,0.81896013,0.810336108203664,0.81896013,0.0
5338635935138880896,166.6002753938405,-59.11233855712914,2.0865464413523016,0.031419784,15.882529,2759.4846,16.632341,156.14224,15.007308,448.0375,1.3060745,1.6250334,1.0120895,0.825463704733972,1.0120895,0.0
5338636519254622336,166.64885563592446,-59.062868513230654,2.060430896628527,0.095916145,17.712433,910.6503,18.842337,28.25119,16.535885,102.82437,1.5001866,2.3064518,0.97969157,0.78412751918907,0.97969157,0.0
5338636828454643200,166.61343774348998,-59.03533009094673,2.0223802236504556,0.1197194,18.11907,652.8772,19.583998,28.664148,16.983772,189.78123,1.3858001,2.6002254,1.0425234,0.713107673206928,1.0425234,0.0
5338637137730030336,166.7510044767257,-59.060186408060495,2.08936674912627,0.011942108,11.804196,7203.6978,12.025768,2288.7717,11.435238,2393.3694,1.182628,0.5905304,0.78426075,0.722892231239342,0.78426075,0.0
5338637236464379904,166.73995148139784,-59.06684043155874,2.0777611294421634,0.013624434,13.448145,2025.9485,13.809912,571.53326,12.924735,926.40576,1.2013848,0.88517666,0.9344365,0.857084777324556,0.9344365,0.0
5338637373902504576,166.7381090492122,-59.0366882522165,2.088373744211155,0.010638749,12.289269,4950.6953,12.54685,1011.57465,11.86812,1487.4252,1.1924542,0.67873,0.7826339,0.850272236887024,0.7826339,0.0
5338637824924904448,166.72492160771142,-59.01574108069951,2.0674877877404643,0.019141251,14.586697,741.88605,15.088489,181.55797,13.921955,302.66586,1.2332689,1.1665335,0.99866635,0.807882465722146,0.99866635,0.0
5338638683918409600,166.66266886502441,-58.97879839005793,2.0641987716119514,0.023476059,15.068316,2281.5535,15.671024,620.39606,14.334224,776.5104,1.2439343,1.3368006,1.0229026,0.863461980551638,1.0229026,0.0
5338638752637952384,166.7121064961583,-58.967604707530626,2.093890488344969,0.016093913,14.047498,2410.9058,14.459787,270.07697,13.437729,291.7421,1.2341888,1.0220585,0.94683856,0.848846919688811,0.94683856,0.0
5338638954451890816,166.60265537412863,-58.95342744320271,2.1252421979821787,0.011247143,12.575833,5246.1436,12.8605995,1848.3329,12.132601,2221.025,1.1910557,0.72799873,0.87087923,0.767194222515174,0.87087923,0.0
5338638958802149632,166.6068006796889,-58.94997800570355,2.113841093373014,0.057723887,16.568281,1132.4987,17.59122,89.603096,15.544378,238.35321,1.3635471,2.0468426,1.1033871,0.742219593821694,1.1033871,0.0
5338639268001250816,167.06875859745483,-59.07931416948385,2.074573184288343,0.059832767,16.874865,1400.1155,17.919954,134.78703,15.876289,491.1383,1.3329177,2.043665,1.0045033,0.737768011491597,1.0045033,0.0
5338639714711601408,167.0722103640328,-59.03292847864491,2.0765926761507716,0.07555368,17.451117,1022.44135,18.739365,58.09951,16.356886,302.34933,1.3745944,2.3824787,1.00776,0.738809832522432,1.00776,0.0
5338640092668310528,167.02145258239773,-59.002485570287675,2.0891155566723874,0.016888147,9.584553,5132.4688,9.59878,2436.0112,9.534819,2526.6255,1.1564412,0.06396103,0.6897628,0.836392656028253,0.6897628,0.0
5338640333186882944,166.90894629174306,-59.02575928551593,2.081542176137175,0.012338811,12.774835,2715.2175,13.077935,803.36444,12.309601,841.6495,1.1946752,0.7683344,0.8295848,0.912975992227076,0.8295848,0.0
5338640470625323264,166.93689799300176,-59.00830687195709,2.046936509275926,0.03593774,15.968784,2560.1587,16.776926,414.8797,15.097938,641.44415,1.2832696,1.6789885,0.9372131,0.745461773549172,0.9372131,0.0
5338640500638695424,166.87598018342024,-59.022244208738606,2.089183580565143,0.01125467,12.207337,5872.637,12.457618,1909.7642,11.803555,3702.5266,1.1864692,0.6540632,0.77963704,0.841637009144898,0.77963704,0.0
5338640608064194176,166.85595855560143,-59.00763031512995,2.136151661499304,0.15243037,18.189417,645.96765,19.651855,31.023695,17.05455,135.98805,1.3857571,2.5973053,1.1169264,0.743182931105906,1.1169264,0.0
5338641020381320064,166.9572956370591,-58.954413085352336,2.0984837949678137,0.015978053,9.878102,4092.2065,9.923173,2163.2607,9.778005,2293.2566,1.1573155,0.1451683,0.8457278,0.795883367879681,0.8457278,0.0
5338641123425212032,166.8701929328453,-58.97267501170236,2.08946394276765,0.25245306,19.173044,339.40298,20.811947,14.392302,17.933249,87.412094,1.4789401,2.8786983,1.0252146,0.885224771435738,1.0252146,0.0
5338641192179971200,166.9040426693412,-58.9500970971243,2.0919925800244914,0.011364399,12.333295,4482.555,12.655626,1056.2402,11.838687,1333.9277,1.2027631,0.81693935,0.8151828,0.874529704999226,0.8151828,0.0
5338641222199174016,166.90071023582237,-58.94217555598174,2.134007518069965,0.1019569,17.983685,786.48303,19.27601,22.552004,16.84927,146.77814,1.4172456,2.4267406,0.9648548,0.725053555283501,0.9648548,0.0
5338641260899458176,166.89268978803102,-58.94257871242225,2.076220040391776,0.022416078,14.983923,2865.589,15.55723,557.0193,14.266351,660.4331,1.2428627,1.2908792,0.93651986,0.824151769658409,0.93651986,0.0
5338641570137270144,167.07779598465828,-58.948743809482416,2.0618562247603385,0.028459495,12.4723215,5203.1357,12.746562,1454.4193,12.039292,1945.1757,1.1905684,0.70726967,1.9778184,0.804900514724153,1.9778184,1.0
5338641845015187328,167.02346568723155,-58.926896784701505,2.094180213793572,0.03294639,15.899517,2396.6086,16.677021,276.0936,15.038789,632.94794,1.2844214,1.6382322,0.9736257,0.814620156625936,0.9736257,0.0
5338642772728010880,166.89211043754926,-58.919482281348685,2.0576021039414627,0.036226947,16.059546,2302.9758,16.881073,379.91156,15.173471,655.9,1.2923073,1.7076015,0.95002276,0.836075500176061,0.95002276,0.0
5338642910167026432,166.90998460680365,-58.903463327067996,2.0539419888460952,0.07819095,17.418482,939.91547,18.618526,83.34814,16.349722,272.26996,1.366592,2.2688046,0.9464111,0.711352794980747,0.9464111,0.0
5338643013246375936,167.0181805559391,-58.896295584834355,2.0853464051728454,0.06023915,16.997122,1230.2661,18.037754,133.47098,15.956319,356.12442,1.3759356,2.0814352,0.9859578,0.897949579836602,0.9859578,0.0
5338643391203525760,166.95321114750945,-58.863045611089916,2.131543991235966,0.014877419,10.661753,3990.9607,10.7541895,2201.4768,10.487954,3505.2173,1.1600372,0.26623535,0.86012375,0.719661556284602,0.86012375,0.0
