source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,ruwe,membership_probability,hr23_ruwe,hr23_nss
661142393392058752,131.13258161669444,19.55475631180187,5.37125257559608,0.094623685,16.842224,1008.68713,18.437551,54.96851,15.605957,302.03128,1.481227,2.8315945,1.1534022,0.709251308398951,1.1534022,0.0
661150124333238656,131.5419037991382,19.52879223367401,5.353173095559766,0.024985291,14.405945,2531.646,15.354319,583.198,13.442624,992.3092,1.3249848,1.9116945,1.0842106,0.778864127929484,1.0842106,0.0
661154522379748480,131.44967277196608,19.60516051740704,5.3160390408261655,0.07872785,17.047306,1190.7917,18.858181,43.46764,15.759525,285.4565,1.5150455,3.0986557,1.0251197,0.711166213455896,1.0251197,0.0
661156858841945856,131.564259964907,19.709100423269405,5.4679291422433325,0.023893144,8.333861,4115.8833,8.443014,1373.2308,8.115634,2397.2637,1.1704949,0.32738018,1.0116423,0.740737443490763,1.0116423,0.0
661157236799076352,131.43511933884702,19.675633356648753,5.535207416858064,0.082470134,16.113918,1168.0616,17.592585,102.43973,14.907073,504.5729,1.4650141,2.6855116,1.805834,0.711989572738754,1.805834,0.0
661167785238757376,131.35834679955272,19.69839917302292,5.553333110311186,0.038085144,15.639099,1994.0248,16.919746,190.15508,14.519704,809.0205,1.4031905,2.4000425,1.0176473,0.745582208938202,1.0176473,0.0
661173317156579328,131.23834555272802,19.815436032414226,5.416545714971789,0.077870466,16.879345,1352.7537,18.523592,58.682537,15.641089,423.35492,1.4762856,2.8825026,1.0309975,0.840364607082376,1.0309975,0.0
661185755383916160,130.11746573702337,18.93575590017441,5.406045793257529,0.037173964,14.959295,2361.589,16.048931,505.6934,13.9208145,752.79407,1.3613156,2.1281166,1.0530388,0.90106573900479,1.0530388,0.0
661186683096853248,130.0592753497239,18.958671739192617,5.42981914504594,0.017993497,13.323774,2434.4197,14.017173,614.0916,12.52172,682.0831,1.2640383,1.4954529,1.0217605,1.0,1.0217605,0.0
661189260077235072,130.00911542576537,18.949103676210633,5.2277961501931145,0.05013035,14.631183,2186.5583,15.900576,551.45984,13.514443,806.6491,1.4026294,2.3861322,1.5955886,0.779319360893747,1.5955886,0.0
661190015991474688,130.00692974596615,18.99978428559308,5.436823716326426,0.018215299,10.0304165,176.0868,10.360586,56.33799,9.548475,58.75166,1.1911867,0.8121109,0.8888696,1.0,0.8888696,0.0
661190153430426880,130.02364747228592,19.025129213225387,5.362769906739687,0.016276294,12.306109,647.86786,12.8715,183.41753,11.587568,266.26538,1.2467209,1.2839317,0.9605141,0.914331849723913,0.9605141,0.0
661190290869387776,129.94035390379582,18.97606212710113,5.318561643364072,0.0673101,16.26075,1037.7491,17.742943,92.07389,15.06809,333.82675,1.4478064,2.6748524,1.0394657,0.736953129023657,1.0394657,0.0
661194310958749696,130.31410718748725,19.08615387034822,5.49473159001615,0.049115792,15.783973,2057.5571,17.118952,189.19263,14.638469,387.80435,1.4210331,2.480483,1.1907218,0.780389445706238,1.1907218,0.0
661199911596105600,130.13715924088478,19.194265479069816,5.534865049491854,0.033919808,8.600788,3230.4495,8.732945,1379.1455,8.344442,2631.0437,1.1751342,0.38850307,1.0596844,0.83293180732706,1.0596844,0.0
661200663212002304,130.2922016821388,19.203615501145784,5.359749991683915,0.16510628,18.174297,714.63135,20.116535,14.907598,16.83952,142.10246,1.5604256,3.2770157,0.9770483,0.855967220974953,0.9770483,0.0
661202282418030080,130.26293363449776,19.30249859042904,5.281419545912709,0.22212525,18.333616,582.6684,20.274273,11.76349,17.000866,140.0074,1.5579152,3.273407,1.0375109,0.778159799402669,1.0375109,0.0
