GaiaDR3,Prob,Gmag,BPmag,RPmag,RUWE,NSS
5338728637708002560,0.891834892222682,12.474197,12.749341,12.040205,0.9105556,0
5338729084384618624,0.80346059200388,14.395259,14.872612,13.761023,0.9291188,0
5338729256183384704,0.702987281496701,10.142736,10.186165,10.053287,0.9921601,0
5338729702860032128,0.741859976738776,14.431491,14.914755,13.789353,0.98929507,0
5338730424414520576,0.799141265939681,9.620684,9.633776,9.574986,0.8338856,0
5338730493133988608,0.750854372206753,15.93598,16.726007,15.061052,0.9889258,0
5338731764444148864,0.775857495188992,14.449063,14.936957,13.804359,0.9420115,0
5338733826028648192,0.702133598876674,16.606804,17.546705,15.652265,1.0277373,0
5338733963467566080,0.73294476094302,11.1108885,11.257265,10.850743,0.8818036,0
5338735062979208320,0.705936451982494,18.703089,20.28478,17.510622,0.96709263,0
5338783613285749504,0.701044320979824,13.787574,14.19278,13.219425,1.045739,0
5338877376673656320,0.715793193985601,15.04056,15.326725,14.0923,1.2965196,0
5338879786183149440,0.732829065602024,14.985477,15.550561,14.26195,0.98724,0
5338887512796656000,0.702678413456174,16.327961,17.218811,15.401197,0.97878623,0
5338887650235390208,0.743420544847886,12.139185,12.388362,11.736073,0.8697625,0
5338912393576000896,0.719886322641453,10.490248,10.592421,10.298853,0.8956074,0
5338912977691491968,0.718597132488248,17.099886,18.228933,16.034708,0.93225956,0
5338915760830527360,0.821042126351342,14.0887575,14.521515,13.492539,0.9406266,0
5338923594851388544,0.793815362420033,10.183764,10.226838,10.091572,0.7644809,0
5339376456222673792,0.705636795757097,14.629832,15.2875805,13.848019,0.9516379,0
5339381988141452800,0.784951880018264,17.549753,18.909046,16.36559,1.1517735,0
5339383152027861504,0.752354804586808,13.478421,13.847733,12.939959,0.94778,0
5339384324603338624,0.748112213875755,11.792795,12.013436,11.42284,0.7508736,0
5339388069816152192,0.821190839567639,16.736582,17.729746,15.763168,0.9966889,0
5339388413413089280,0.789646676150216,11.700949,11.91677,11.341151,0.728382,0
5339388894449565952,0.82773670142104,13.95704,14.377253,13.375821,0.9974435,0
5339389061904738816,0.730267973790576,19.529213,20.935434,18.287195,1.0392497,0
5339390406278127104,0.767864065576707,13.312487,13.6611595,12.793904,0.9063056,0
5339391230888562048,0.748723798595222,20.132593,21.64767,18.923048,1.0659016,0
5339391402710307328,0.702145778511803,15.250397,15.889702,14.48538,0.9886754,0
5339392777075085952,0.743232792080384,19.165585,20.587515,17.912966,1.0265746,0
5339393292496113408,0.785754060239836,16.798037,17.790606,15.798429,0.9595335,0
5339393292501472768,0.741011359403178,15.172002,15.788322,14.427173,0.94382334,0
5339393872266415872,0.828686981091637,17.691133,18.872286,16.554338,0.9973096,0
5339394151489779456,0.71646022090616,14.6645155,15.178634,13.994089,0.9352119,0
5339394426367694080,0.891963812158439,13.360766,13.709946,12.844015,1.0442799,0
5339394632525985920,0.81139687703723,14.340057,14.801299,13.701033,0.99149406,0
5339394769964908928,0.945316648878055,9.059875,9.060192,9.031436,0.7486413,0
5339395319720845696,0.738092564370442,13.289827,13.712231,12.678684,3.3221605,0
5339396041275855360,0.773258992543472,13.652444,14.030901,13.106206,0.89060146,0
5339399988299895296,0.8690410011999,14.928944,15.466267,14.201405,0.9301774,0
5339400095724962048,0.726968319862035,14.304788,14.75746,13.668475,0.9164865,0
5339401298315865344,0.802851218249409,7.9288044,7.9651847,7.816558,0.9252987,0
5339401878083600256,0.728070842780265,14.136347,14.665906,13.454539,0.9578317,0
5339402599637990528,0.757225714191057,9.891987,9.919276,9.826534,0.93519026,0
5339403291180883584,0.910802230803701,12.23771,12.493238,11.827777,0.8183427,0
5339403497339360768,0.799838049293793,15.918243,16.711159,15.038064,0.9830844,0
5339403600397255168,0.718749840624338,17.404678,18.181803,15.895729,1.2189085,0
5339403634778261888,0.793607389214105,11.793488,12.021783,11.413414,0.9234175,0
5339403664805262592,0.898449383511549,11.98528,12.223195,11.598022,0.7714427,0
5339403772217272192,0.885176147211108,16.027851,16.846384,15.148425,0.97619337,0
5339405112247752192,0.705202828199705,11.976543,12.210087,11.593144,0.7503127,0
5339423082375791104,0.798548887601817,19.549807,21.323114,18.383234,1.0984862,0
5339424937818176000,0.709055018431119,15.826046,16.608858,14.96232,0.98200274,0
5339427824036169088,0.90268852096189,16.097567,16.907757,15.192205,1.0297408,0
5340143812205915520,0.709989015141319,18.236076,19.477184,16.978508,1.0315927,0
5340143949689261696,0.80360116192098,13.325035,13.714937,12.749258,2.7648876,0
5340144018408744192,0.718145314890367,13.283435,13.624172,12.774845,0.8936998,0
5340144117155872768,0.758538424942985,17.961958,19.421856,16.85797,1.0253103,0
5340144465085178368,0.839526695281723,18.725916,20.075901,17.475294,1.0233091,0
5340144911761908480,0.87396257064337,16.620045,17.46195,15.594667,0.9748757,0
5340145289719080064,0.943019431605173,10.948952,11.092544,10.6924305,0.8586276,0
5340145354106484992,0.892772184795332,18.10396,19.478737,16.996191,1.1192069,0
5340145427158100864,0.818119990965912,14.917929,15.485172,14.211351,0.98499674,0
5340145427158116864,0.924119092551229,10.612824,10.702556,10.444267,0.8388145,0
5340145667676358272,0.797841678990379,18.364876,19.92508,17.171383,0.95453537,0
5340145873834802304,0.757160566897611,17.37035,18.541498,16.283587,1.0094693,0
5340146526670002432,0.808414039384184,15.6565895,16.379198,14.8235,1.0240133,0
5340146801547783168,0.901472739245236,16.28831,17.157284,15.36576,0.9302841,0
5340146973346422400,0.824668988169493,14.264432,14.719368,13.648724,0.9414919,0
5340147007706228352,0.716346749419769,18.005737,19.312403,16.856394,0.941749,0
5340147248224472960,0.8001089778785,15.023143,15.777009,14.179656,0.9608411,0
5340147351303730176,0.873325744501219,10.4812155,10.55635,10.335316,0.8246763,0
5340147557462156544,0.703707155477168,11.330226,11.51001,11.026465,0.8894792,0
5340147797979862912,0.87558439823717,9.967274,9.998478,9.897995,0.8860841,0
5340147901059140480,0.775699678508155,15.646494,16.460632,14.712594,0.9856094,0
5340148072857787392,0.756205451437994,18.332281,20.080547,17.120596,1.0596704,0
5340148171605016320,0.736120473190806,19.358486,21.307438,18.139738,1.0463507,0
5340148309039761280,0.887943322097767,15.799604,16.809574,14.797717,1.0087339,0
5340148760053027840,0.835121719177879,10.355484,10.419842,10.231544,0.8156075,0
5340148794412279296,0.870821057390312,15.371624,16.028461,14.59285,0.9655061,0
5340149206729221760,0.793986371101587,14.210431,14.656215,13.600167,1.0154424,0
5340149241088915712,0.771050820938796,8.61242,8.612465,8.57283,0.92370903,0
5340149241088926720,0.737652555845738,15.244215,15.8411875,14.439715,0.98221713,0
5340149275448709760,0.757053729031677,15.266774,15.883517,14.46374,1.0990331,0
5340149309808437888,0.840014489498627,11.4314995,11.6271105,11.099345,0.8784209,0
5340149825204669184,0.784650597189669,9.762612,9.853335,9.580209,0.9009089,0
5340149825204658944,1.0,14.149529,14.589811,13.549889,0.9354197,0
5340149928283894528,0.936578801809707,12.795917,13.100797,12.332522,0.890703,0
5340149962643652480,0.849378934343891,15.3376,15.965823,14.53662,1.000049,0
5340150100082689408,0.745106051815175,16.477951,17.378225,15.509901,1.0036185,0
5340150374960612096,0.91065984157081,14.624854,15.143339,13.954397,0.9189298,0
5340150443680126848,0.945525312637356,17.088577,18.15756,16.085855,0.97323686,0
5340150679861560192,0.879352337168949,10.756,10.872712,10.5371895,0.8176557,0
5340151027795537280,0.773546762886022,12.853411,13.175053,12.365963,3.8573594,1
5340151126542581120,0.788568661383841,17.425402,18.513206,16.319761,1.0466795,0
5340151337033203456,0.922367553579672,10.603888,10.712167,10.401565,0.98866874,0
5340151401416814720,0.749305487834916,17.789175,19.098532,16.69979,0.97293794,0
5340151440112463360,0.939362450741169,15.409936,16.084726,14.618833,0.94537973,0
5340151474472251008,0.862313016365712,14.628755,15.107324,13.927509,1.0107872,0
5340151508788869504,0.809366186921487,18.227135,19.38827,16.96285,1.0475874,0
5340151577551470720,0.759083748506151,16.487951,17.391909,15.534169,1.0386115,0
5340151710653710208,0.811987633636317,12.388741,12.665831,11.95238,1.5881609,0
5340151714947546880,0.819426951789423,19.54571,21.054972,18.36083,1.0061787,0
5340151852429410688,0.743652364810073,14.899315,15.453406,14.181503,1.0012286,0
5340151951168504448,0.896081492556971,14.071206,14.499347,13.478985,0.9583928,0
5340152127307744640,0.726637325743842,9.954505,10.001363,9.84984,0.88366807,0
5340152608344183936,0.761240734781928,14.691063,15.200904,14.0154705,0.9472906,0
5340152848862460928,0.87396257064337,13.280507,13.622918,12.765424,0.9724734,0
5340153085047697536,0.820688045078155,18.310999,19.858986,17.080044,0.9994713,0
5340153570416813952,0.817689824408006,15.462114,16.133308,14.652896,1.0211474,0
5340153944033307136,0.717072554738644,12.33825,12.599224,11.921766,0.87148327,0
5340154184551489792,0.723031045684933,13.660607,14.035006,13.117106,0.93944985,0
5340155735080564736,0.769052753314667,13.137842,13.468703,12.639334,0.9093074,0
5340155735080557184,0.765340627887778,15.815495,16.567099,14.960724,0.9281514,0
5340156078678157056,0.708293587406926,16.787632,17.765844,15.747291,0.98963535,0
5340156490994565888,0.891069331931091,15.036831,15.635308,14.2907915,0.9295498,0
5340157075110216192,0.702872106982605,16.363213,17.244438,15.430589,0.98617435,0
5340157109469989248,0.754250140452271,16.95791,18.035606,15.91746,0.9537467,0
5340157345650254848,0.757835871139833,17.929451,19.468416,16.752457,1.0473998,0
5340157934103609216,1.0,9.198938,9.216773,9.134977,0.910032,0
5340158037182861440,0.779281949256065,11.807794,12.032327,11.437739,0.73987526,0
5340158140262144256,0.829496042414003,13.352955,13.7078705,12.831805,0.95171744,0
5340158926195472128,0.798210558507479,14.373846,14.766454,13.562978,2.0033598,0
5340159033615462016,0.722664837482447,9.55485,9.589388,9.468223,0.8832846,0
5340159819548513792,0.809563653651429,9.417041,9.418726,9.394296,0.78416514,0
5340159858208303872,0.751370328863416,13.278944,13.519195,12.578726,1.1255301,0
5340160506743689984,0.75836126384194,15.947181,16.725672,15.079297,1.0104427,0
5340160919067943040,0.808933448761389,17.153984,18.245653,16.08246,1.1106253,0
5340160992121127168,0.87083392891791,11.525977,11.725178,11.18255,1.0148007,0
5340161022147218688,0.91065984157081,14.402726,14.832191,13.735779,1.0190507,0
5340161090862579712,0.752416838588336,14.24661,14.705432,13.62151,1.1585696,0
5340161129560052352,0.8289494069473,13.65218,14.024045,13.108678,0.9151139,0
5340161159586164608,0.915477690640132,14.903825,15.442464,14.181959,1.1968881,0
5340161163919802240,1.0,9.791699,9.829303,9.706992,0.78613454,0
5340161266999026944,0.788501567391281,5.6824784,6.312813,4.924737,1.0918257,0
5340161335718508800,0.833582879106587,13.054275,13.378868,12.563276,0.9273749,0
5340161473157492352,0.813034450584941,14.207934,14.6614895,13.592943,0.9768808,0
5340161576236734848,0.726909632052403,11.287692,11.511478,10.917662,0.8541608,0
5340161679276780416,1.0,10.272464,10.335512,10.148612,0.78810376,0
5340161748035398528,0.91065984157081,17.586386,18.815722,16.487524,1.0257274,0
5340161885474372480,0.83627463531887,10.486389,10.652299,10.187927,0.9904968,0
5340161885474368896,0.881794715331042,13.639407,14.081917,13.0002575,0.9460059,0
5340161915496760192,0.796980794539698,19.027657,20.533224,17.737883,1.0984408,0
5340161954193779840,0.835219952041104,12.736018,13.076279,12.228286,0.90348923,0
5340161954193782784,0.764403372369739,11.057862,11.205406,10.799905,0.8223861,0
5340161988553524736,0.742869654055391,15.261456,15.915724,14.47291,1.0272676,0
5340162022913251328,0.860607961083065,18.422718,19.974154,17.259178,1.0159485,0
5340162057273013248,1.0,8.5738735,8.574803,8.535994,0.8797081,0
5340162125992508800,0.799840179490382,16.893568,17.86167,15.877734,1.1700356,0
5340162229071686912,0.803474445469909,15.372931,16.0287,14.569933,1.0314198,0
5340162293453729152,0.818498195310798,17.235718,18.315159,16.156734,0.951481,0
5340162332151270016,1.0,12.574181,12.859558,12.130418,0.8907705,0
5340162332113956864,0.838748309558756,19.979412,18.56565,18.062254,1.0049069,0
5340162435230352384,0.743751198568334,16.538477,17.464706,15.587245,0.9946333,0
5340162538309397120,0.822987228738995,18.189825,19.707188,17.029257,0.959932,0
5340162710108101376,0.899257890000265,13.769059,14.157841,13.213921,0.9906856,0
5340162950626468480,0.871748525999907,13.521204,13.891702,12.985132,0.910867,0
5340163122424976512,1.0,16.1354,16.973139,15.228899,1.0173618,0
5340163259863949696,0.758518133261974,16.537895,17.617981,15.495585,1.4361788,0
5340163328583404416,0.70343889192826,17.549616,18.733624,16.45483,0.979212,0
5340164084497918080,0.71198417351165,16.53392,17.472332,15.58206,0.99293274,0
5340164118857681536,0.872896734899649,15.016789,15.575692,14.221657,2.5474591,0
5340164153217132928,1.0,11.258071,11.486545,10.8757105,2.408131,0
5340164187577098624,0.709348210013749,15.407734,16.093615,14.600113,1.0629836,0
5340164251958210560,0.744013793216363,12.413676,12.746549,11.915901,0.8650848,0
5340164290656319232,0.775185175277613,13.744938,14.13482,13.19034,0.90672755,0
5340164496814686592,0.843794752606837,15.264498,15.900195,14.504367,1.0241095,0
5340164496814687488,0.762399921682095,11.840057,12.06588,11.459374,0.7532913,0
5340164702973188864,0.891963812158439,8.988076,8.97531,8.982944,0.8898664,0
5340164737332972928,0.864210830024872,16.546066,17.485126,15.589936,1.1252705,0
5340164806014568960,0.827345769297277,10.225937,10.274785,10.12647,0.89565593,0
5340164836070295552,0.976022014537359,11.940462,12.171497,11.562415,0.7877334,0
5340164874771895296,0.85932481867256,13.612207,13.990913,13.069751,0.87869036,0
5340165012172974848,0.856968845412391,18.888437,20.47992,17.669323,1.0494096,0
5340165042228725248,0.817267025862607,12.026831,12.262889,11.642871,0.82205945,0
5340165282750363392,0.980197367739199,12.049384,12.35122,11.587251,0.7574898,0
5340165390167830400,0.812920900529143,11.204371,11.362828,10.93046,1.0123976,0
5340165420189316096,0.871748525999907,10.199553,10.273414,10.052584,1.5739825,1
5340165802484698752,0.979095181872466,15.0453005,15.614585,14.282259,1.0275427,0
5340165935589882624,0.713001051445779,19.29886,20.71546,17.839252,1.0767365,0
5340165905563911680,0.783089719949623,15.154768,15.770215,14.404503,1.0220655,0
5340165969945747968,0.780344773845352,17.53793,18.744574,16.465881,0.97404075,0
5340166008643133312,1.0,13.765256,14.152267,13.2137985,0.9866418,0
5340166008643136384,0.920865793435431,9.203244,9.200867,9.182577,0.8806318,0
5340166111722333184,0.935072271669089,15.134775,15.744075,14.388384,1.0048158,0
5340166485341977600,0.844921180046959,17.685156,18.95363,16.592035,1.0413109,0
5340166519700942336,0.774113932861632,9.542676,9.5544,9.502213,1.0267509,0
5340166833276551168,0.762100018634762,13.880814,14.28341,13.314304,1.0483409,0
5340166936356024704,0.720315583729619,13.802761,14.204472,13.235192,0.9865864,0
5340166936356025344,0.923997277498037,17.219202,18.303766,16.068823,0.9738829,0
5340167211233684736,0.823709792981339,14.279175,14.904745,13.512164,2.4334164,0
5340167245593416960,0.831431072919325,12.310955,12.569947,11.897044,0.977657,0
5340167279953159552,0.966030730874253,10.547802,10.636199,10.386152,0.77503234,0
5340167451752169216,0.945525312637356,15.515407,16.179611,14.707375,1.0130119,0
5340167623550887680,0.7165821795092,12.95479,13.374231,12.372469,2.030756,1
5340167692270339584,0.837241740030246,16.042635,16.868618,15.136185,1.069884,0
5340167791011260544,0.769378996478886,11.921033,12.151801,11.542625,0.8154571,0
5340167825370475008,0.82766358902611,18.722775,20.23023,17.466425,0.9630458,0
5340167898428770304,0.800815287011285,17.005371,18.077492,15.980717,1.0391958,0
5340168001508017664,0.87062543475434,12.592331,12.873145,12.152891,1.0712318,0
5340168138946991488,0.830771631419189,16.70505,17.570498,15.625923,1.0174434,0
5340168482544050560,0.741016488981371,13.798851,14.202118,13.232655,1.0082644,0
5340168688702453376,0.867483909635765,16.790178,17.77505,15.792797,1.0114532,0
5340168757421931648,0.842412028074314,16.338377,17.221292,15.344386,1.1167904,0
5340168791781677568,0.726909632052403,17.332218,18.481438,16.260386,1.0833421,0
5340169032299841280,0.721135629484999,9.440425,9.444455,9.414594,0.9278271,0
5340169066659587328,0.796005620989205,10.884978,11.005661,10.666396,0.8744937,0
5340169169699423104,0.74552764151802,20.288038,21.049854,18.715193,1.0807294,0
5340169788214923136,0.904851152174377,13.607268,13.981643,13.06476,0.9668827,0
5340170337970754944,0.796526645824484,14.667511,15.173611,14.000815,0.98687357,0
5340170750287782528,0.818498195310798,16.448473,17.393627,15.501788,1.0358466,0
5340171025165668224,0.860929908966373,10.494442,10.591268,10.310318,0.82043535,0
5340171059525409664,0.719656804103471,10.807762,10.915326,10.608739,0.86716706,0
5340171227014430848,0.824901168469125,19.318933,20.860554,18.085072,1.0205122,0
5340171574921497984,0.752412167684585,16.126694,16.96491,15.234421,1.0270197,0
5340172159037118720,0.708402227676283,13.650041,14.0362425,13.095788,0.96329135,0
5340172262116357504,0.743578122308862,14.340264,14.812473,13.702231,1.0306226,0
5340172468274819968,0.84704036305607,13.683645,14.068904,13.135534,0.9765119,0
5340172949311127936,0.7726232691509,14.945236,15.508646,14.236466,0.9277847,0
5340172983670865664,0.726565639547735,14.357563,14.826159,13.728678,0.95717096,0
5340173533435130880,0.756261021684565,10.199315,10.249581,10.095592,0.8748962,0
5340173632163328384,0.708646950396307,12.326308,12.585373,11.913514,0.86535573,0
5340173808304411648,0.738980030844378,15.632879,16.335554,14.810215,1.03112,0
5340173842663985152,0.753437865269915,15.448716,16.103745,14.658199,1.0559692,0
5340173911383636992,0.70456579060097,12.907635,13.218909,12.431438,0.9115558,0
5340174181919575296,0.919636955586039,15.790082,16.53437,14.921609,0.98023105,0
5340175109632057472,0.800895255121696,12.74308,13.037568,12.291085,0.92491406,0
5340175354492378496,0.794169753225249,13.9096365,14.322029,13.335238,0.92859954,0
5340175590671443840,0.729396058770757,17.604128,19.032337,16.449495,0.9822016,0
5340175801168999808,0.817550297487386,15.504505,16.193361,14.702279,1.0370195,0
5340176041687159424,0.750800080138029,11.915579,12.148784,11.496307,10.851198,0
5340176350924851456,0.794999462380252,9.769547,9.798979,9.697912,0.8730487,0
5340176861978712576,0.790861832359549,10.64361,10.7351265,10.475053,0.95990777,0
5340178378149492864,0.776698600079081,14.447787,15.046468,13.672483,7.73526,0
5340178683047825920,0.716761505955782,18.51185,19.953812,17.345573,1.113369,0
5340180233576027648,0.777320081292343,15.347026,15.991922,14.568463,0.9606803,0
5340180508453947008,0.701162813504707,15.549614,16.254461,14.738496,0.94524604,0
5340183016714762240,0.715680190740517,13.237645,13.581151,12.729829,0.8565358,0
5340186074731821952,0.703778355825057,13.242725,13.586064,12.735637,0.94188553,0
5340186143451130112,0.724488973069873,6.618429,7.275941,5.8394666,0.98861265,0
5340186207827570048,0.796143282784151,9.834731,9.862897,9.747183,0.8684114,0
5340197683980182528,0.722859004034167,8.378527,8.375234,8.345244,0.8842129,0
5340199642493752448,0.708051371747511,19.471004,21.04094,18.13754,0.9641308,0
5340213631236461312,0.871748525999907,16.24633,16.999807,15.110789,1.1721554,0
5340213661266454784,0.926669455306972,19.023705,20.718206,17.800533,0.99270475,0
5340213837394913024,0.7808394387174,12.388078,12.65945,11.957539,0.94021386,0
5340213901780626816,0.840430725755604,13.591041,13.961178,13.045016,1.1608217,0
5340214009193591808,0.792591552152768,13.616891,13.993335,13.075889,1.0039197,0
5340214077913205760,0.93614116059924,10.831031,10.942724,10.620919,0.82372737,0
5340214382813394304,0.887994337680665,17.07693,18.161203,16.067116,1.0300994,0
5340214558933816320,0.803474445469909,19.78779,21.113216,18.52578,1.122024,0
5340214662028660992,0.802492797508129,16.827389,17.828499,15.835342,0.99813294,0
5340214833827321984,0.76151381372817,16.99937,18.058964,15.986305,1.0259767,0
5340214936906544512,0.857025288043298,17.17667,18.4679,16.050112,1.0134091,0
5340215211784289408,0.806709479398495,11.996388,12.233389,11.6089,0.800399,0
5340215246144032512,0.860910474990132,14.865797,15.423351,14.160376,0.9863261,0
5340215349223412992,0.73938389633929,13.564444,14.014888,12.95028,1.0527703,0
5340215349223413504,0.704607422261754,14.581422,15.214657,13.810021,1.0467095,0
5340215791595218944,0.762411056640748,19.342293,20.535856,18.123455,0.99999624,0
