source_id _x _y pmRA pmDE Plx e_pmRA e_pmDE e_Plx Gmag BP_RP RUWE
163635200258805760 2.4502539304385365 3.291560162420483 -9.711008180090626 -24.10728369285293 4.906306258892633 0.04693394 0.026104447 0.03221982 10.374157 0.8584881 1.4830039
65264673762670080 -0.7249762220380933 0.0716407548475613 20.25163895267666 -45.90457503095468 7.841224461094723 0.13259494 0.10255171 0.12864085 17.92541 3.2961884 1.003561
70182896649961088 -1.3745500467325278 1.953664018679111 -37.52992979395896 -15.552732267247972 10.95388426058238 0.05041389 0.039531548 0.049161065 15.67065 2.88558 1.1358565
69474123966166400 -2.6343870604818727 1.830637144669156 -86.5300933616091 19.41898071060547 15.980185580534032 0.030614708 0.02988553 0.02414021 13.740466 2.680173 1.2488872
63266865431451008 -0.0456307595388487 -3.5219849822974294 19.25681006804501 -18.30320800050736 5.047169535527222 0.024206078 0.01739501 0.020814242 10.046673 0.699502 0.95329994
70978148497758848 -1.0345997820373642 2.4475890407458447 -14.522711200726896 -38.467978726856046 11.926851037423477 0.18917356 0.13635194 0.14932814 17.87173 3.6615467 1.0236237
65183447341528320 -0.5606925003899523 -0.5344534042556675 -0.1671341017518939 -15.38603676314082 5.356795728337118 0.024722274 0.015150015 0.017534519 13.641666 1.5853558 1.0971322
64873045759681792 -0.3104927368866291 -0.9975190306631728 19.617114088918505 -45.24672365607152 7.188618772515743 0.5005572 0.31478438 0.44927102 19.374132 3.203205 1.1024445
64384244123439872 -0.7561865123927881 -1.934230704423608 19.451299150041617 -22.80796886846706 5.519816624375495 0.27207685 0.16747011 0.25125208 18.669949 3.3452377 0.9364996
167831658185522560 0.6932813789394254 4.962156885370632 15.396743382810108 -9.88431190797224 5.569988670768426 0.07166324 0.040186346 0.0640625 16.169062 2.4911442 0.9738555
70575795961563392 1.7643697293725205 3.311346708180505 23.09099593993118 -14.95760906843516 4.538370878340196 0.5492618 0.41195866 0.47699702 19.675194 2.8074265 1.0959387
63695778046754560 0.9443073420232644 -2.70306888475514 19.194813057161397 -32.63327942624029 5.74509007875912 0.10217396 0.062721334 0.07991683 17.00283 3.153676 1.0358735
68681204284006912 -4.237372999833359 -0.6493034051265894 130.28766012736713 -19.187460193825256 6.345197158268559 0.10947999 0.08572554 0.10055968 16.24588 2.848053 1.5842179
163749618189309440 3.0888060168920752 3.6572938742226366 19.71742413123503 -10.981167512237327 5.705670448560937 0.5885957 0.3580956 0.5162562 14.186936 0.9525385 23.791676
65027664584274560 -1.0046270282302288 -1.2339269044049936 32.18694167894819 -2.1026445988044244 4.810554276726471 0.02251275 0.014844357 0.016891345 10.609984 0.78035355 1.1070999
65779971056668032 2.548616782336964 -0.1424621459451067 19.65113593879149 -48.10405501535265 7.7564569906051215 0.09086788 0.048848797 0.065798804 16.605007 3.0123434 1.0044092
