GaiaDR3,Prob,Gmag,BPmag,RPmag,RUWE,NSS
658642000872094464,0.790259299601081,16.66626,18.252228,15.425571,0.95156795,0
659393929386140288,0.709419844703536,14.333665,15.272211,13.376785,1.0158657,0
659411796450014464,0.801204479676301,14.8558655,15.970775,13.7991495,0.96284014,0
659466222275521792,0.775080592894052,9.0355015,9.202791,8.733015,0.9885714,0
659488349947010176,0.714152755114571,17.26622,18.938065,16.015116,1.0451701,0
659539236719824768,0.7099143061119,10.734722,11.034366,10.274084,0.95886123,0
659561604909477632,0.725026953989601,15.156292,16.288668,14.102225,1.0169986,0
659645030354241536,0.766766203098922,12.764074,13.312497,12.0323515,1.0213232,0
659656094190005376,0.722144092605206,13.473628,14.187152,12.656209,0.9841724,0
659660316141171968,0.762395034019827,19.278194,21.075052,17.922047,0.93567985,0
659665096441437184,0.718581799619916,10.532542,10.828239,10.077238,0.8089702,0
659668635494494848,0.788967841969861,13.576638,14.335979,12.729268,1.0666949,0
659674614089017984,0.725594734976662,15.222378,16.380314,14.153616,1.0066433,0
659680072990872704,0.7857676454487,16.548304,18.106901,15.269399,1.0505472,0
659684264879024128,0.71671667026223,18.15642,20.022886,16.865602,0.9791417,0
659685231248166784,0.755268374431512,16.636261,18.244202,15.411938,1.0112762,0
659689865516277632,0.773880128344383,17.87221,19.759407,16.600128,1.1283774,0
659691656519169920,0.914238050378072,16.103468,17.486736,14.94798,0.9971867,0
659698219229186688,0.825570262655578,15.864371,17.393362,14.6638365,1.0616951,0
659703957305493632,0.891907559409418,16.147707,17.526947,14.980773,1.0032848,0
659713818550364160,0.807897983248174,16.909399,18.674637,15.639655,1.1262449,0
659714024708794240,0.749239506573501,14.23812,15.155485,13.292022,1.0557474,0
659729417871499392,0.776138391662387,16.790026,18.439926,15.561098,1.0106443,0
659732132290823296,0.871990146735429,14.503793,15.48391,13.525738,1.0055947,0
659734125155723008,0.702530734145071,15.913212,17.266863,14.756545,0.995411,0
659739072957970176,0.760931915989952,14.69426,15.704849,13.694381,1.0346798,0
659741233329151744,0.872161971178084,18.329865,20.243866,17.00954,1.0267103,0
659742367196651392,0.714191646525682,15.454876,16.68656,14.357552,1.012157,0
659744295638254336,0.761305759025949,16.060843,17.454418,14.900679,0.98767865,0
659750514750888192,0.860239494173644,13.367972,14.07502,12.532287,4.5577955,0
659750892708009088,0.877641200526775,14.12258,15.015838,13.192012,1.0563865,0
659753126090987776,1.0,17.599659,19.378592,16.325083,0.983591,0
659755630055476992,1.0,12.019036,12.475515,11.405766,0.9295089,0
659756493345357056,0.881370710024352,9.691746,9.93222,9.296245,1.9377162,0
659758967246506880,1.0,11.638589,12.031762,11.083295,0.84978527,0
659765220718853504,0.899823986840297,14.067384,14.935506,13.150421,1.0430522,0
659765598675979904,0.948183880968224,16.089172,17.547924,14.907248,1.1560932,0
659766114072052608,0.715658347615338,12.118415,12.583787,11.495761,0.9699022,0
659768102641215744,0.991568365277187,13.364043,14.070278,12.548702,0.97753936,0
659770340319909760,0.929080153474832,13.078225,13.703674,12.326109,0.98745865,0
659777074828577024,0.93314004168568,14.954064,16.200684,13.85115,1.024922,0
660196774736045184,0.701599671355862,12.573647,13.11293,11.887734,4.731067,1
660295357121694080,0.704787963131868,12.872182,13.460778,12.150211,0.91335917,0
660327685339473152,0.711166213455896,17.434742,19.162067,16.174522,1.0485758,0
660923105246007552,0.740424394296423,17.728884,19.475964,16.448858,0.974747,0
660928259206807808,0.871130184505975,15.10981,16.252836,14.047558,1.0305505,0
660933073866203264,0.867365171891933,15.577761,16.838156,14.467723,1.0175705,0
660939258619177984,0.753405415025687,13.73054,14.708179,12.749116,1.0945345,0
660944717521395840,0.778669695022984,12.072134,12.520891,11.461147,1.2665277,0
660948123431659648,0.752518737111517,17.284693,18.949242,16.043867,0.95826614,0
660953998946910720,0.710014189361155,8.398536,8.516975,8.166572,1.0906453,0
660954067666386944,0.773241489791665,9.516462,9.728562,9.154241,1.0136517,0
660957400560960256,0.764017019362275,17.301842,19.093067,16.030466,1.007554,0
660957980380034688,0.942781793465314,9.983771,10.225441,9.585445,1.1790738,2
660962863759344768,0.839948158495204,12.3910265,12.892677,11.737743,1.0998619,0
660965097142415872,0.706118879020543,17.674332,19.444376,16.394993,0.95664406,0
660966849490060928,0.806114545286988,16.705555,18.237228,15.462088,0.93959564,0
660966883848803072,0.705713893548999,16.14758,17.638771,14.952835,0.9768632,0
660976676374207616,0.77724734508739,17.411726,19.049911,16.168322,1.028244,0
660978669238963200,0.969576867392923,16.601542,18.085545,15.415539,0.99023783,0
660981349298550272,1.0,15.955235,17.365757,14.786623,1.0484705,0
660983750184396672,0.773241489791665,18.139982,20.069578,16.840914,0.97989935,0
660986331460669312,0.820440898931675,10.613258,10.965257,10.093514,2.1289115,0
660990484692472448,0.973355066972681,19.275263,20.768587,17.86914,0.9916,0
660992344414836992,0.95728661539109,17.742325,19.585491,16.455784,1.0314128,0
660995230632845184,0.849369367006706,12.515732,13.044775,11.809652,1.106098,0
660996020906770560,0.959708886234858,13.641169,14.393329,12.797183,1.047112,0
660996295785836416,0.722261557663204,17.334822,18.91352,16.074053,1.0174658,0
660996330144479616,0.99515999543678,16.981367,18.616442,15.737924,0.98062253,0
660998975844267264,0.807108436631476,11.265072,11.630422,10.736105,1.5776842,0
661001243587055616,0.712500183101654,16.165894,17.674152,14.962377,1.0089806,0
661004400386393984,1.0,12.648937,13.186989,11.96533,0.9939663,0
661005538554352000,0.70309578226649,15.279802,16.604889,14.141163,1.434133,0
661008527851529728,0.884845070174078,13.623213,14.372687,12.780002,1.0235889,0
661010005319096192,0.764799094560256,18.323666,18.301458,18.447277,1.0324429,0
661015915195312512,0.717322541982452,9.441937,9.695008,9.024899,2.8594117,0
661018835773136512,0.789354989513929,15.191929,16.335667,14.129193,0.99698097,0
661026738512909440,1.0,16.121225,17.492434,14.972607,1.0034839,0
661029384212747392,0.803707048540954,11.905254,12.330622,11.312958,1.4945742,0
