GaiaDR3,Prob,inrt,Gmag,BP-RP,Plx,pmRA,pmDE,RA_ICRS,DE_ICRS,RUWE
45000919277665536,0.19198713004814,"False",17.611864,3.5782013,9.133086440170473,25.40996348976124,-54.738738346662686,56.25604982594,18.86952049516,1.0603918
45022222315428608,0.290942762143679,"False",11.569337,1.1937275,6.924254264562802,18.737526272317602,-41.33948375568347,56.11710344458,19.18481410857,1.0556834
46342250447561216,0.195836909014452,"False",18.535337,3.4608498,8.030700750802009,17.830256729866107,-48.22147052369707,61.44299767813,16.74527097416,1.0542457
46438771249859840,0.203801794316447,"False",13.15469,2.0518959999999997,7.537224708615757,18.629909243496773,-46.34950258885481,61.21804759023,17.46428114179,6.43711
46760305383987456,0.186920743626214,"False",7.63135,0.16588259,6.639446433779369,15.772418547762596,-39.580913709698976,62.20633856559,17.29148291391,0.99743545
46843632046026240,0.183687942189326,"False",11.107249,1.1584997,8.184279839094701,21.003371551714984,-48.986897323862706,61.9751043482,17.84029737967,3.2376015
46888952540781824,0.202548860016962,"False",17.052155,3.0656881,7.173645181415245,15.319111358506627,-43.29572316379176,62.24943726814,17.89473500629,0.9815325
47048106850285824,0.232771902498445,"False",16.066448,2.8103876,7.200826370530528,17.806159233937553,-43.1725373736907,61.52127091837,18.06905405568,1.0918037
47167884897203968,0.1931752539415,"False",14.223634,1.9446526000000002,5.85184302554388,16.057345822838222,-33.389738352975776,61.8135681321,18.54213795127,1.8646793
47422799795696512,0.19942251150601,"False",16.585,3.013235,5.72178697172997,14.104080275581815,-33.4323373105754,64.80875872895,18.05825943694,1.0695462
47436990367843584,0.19942251150601,"False",16.433378,2.9414644,5.6013512816141935,14.04220418157157,-32.31157930535722,65.3963393797,17.85388319213,1.0678807
47508699141782656,0.177371328988027,"False",17.211187,3.1330595000000003,7.798854250145547,17.414940682879873,-47.520194814495134,65.27681362114,18.14762973868,0.95899165
47554363233908608,0.19942251150601,"False",14.1120405,1.8904066000000002,6.107784211144012,14.527747401464485,-36.26539645253039,65.29132462175,18.51141902282,1.0224515
47567523013688192,0.19942251150601,"False",18.576113,3.283268,6.102944541309832,15.032509883073216,-34.64713267448679,65.40524170307,18.74306685978,1.0023679
47573982644946688,0.19382244860822,"False",17.647198,3.3506449999999997,7.79600253944929,17.295110595080573,-46.7753559312234,63.88422426413,17.69775206602,1.0338395
47608342383235584,0.185205922945123,"False",17.350912,3.1681042,5.954180114052295,15.042309729512176,-33.544090833507646,64.43738189821,18.07355873795,1.0577217
47843122475539584,0.19942251150601,"False",16.310568,2.8259925999999997,5.786865082154728,14.94508390304118,-34.17097279509043,64.63456163001,19.21860316415,1.0911525
48450426554549504,0.19942251150601,"False",9.951246,0.83875465,5.915392142939592,15.96802958887002,-33.77107211071325,63.60051705518,18.61544692047,1.0077204
