sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
final_current_mass_projected,cylinder,0.0,4.0,p028,1.6230000000000002,0.2320000000000001,54
final_current_mass_projected,cylinder,0.0,4.0,p029,1.701,0.2024999999999999,72
final_current_mass_projected,cylinder,0.0,4.0,p030,1.77,0.24150000000000005,52
final_current_mass_projected,cylinder,0.0,4.0,p031,1.499,0.22850000000000004,54
final_current_mass_3d,sphere,0.0,8.0,none,1.8090000000000002,0.16900000000000004,107
final_current_mass_projected,cylinder,0.0,8.0,p000,1.9340000000000002,0.14949999999999997,143
final_current_mass_projected,cylinder,0.0,8.0,p001,1.9000000000000001,0.14749999999999985,145
final_current_mass_projected,cylinder,0.0,8.0,p002,1.8960000000000001,0.15000000000000002,140
final_current_mass_projected,cylinder,0.0,8.0,p003,1.8170000000000002,0.14950000000000008,137
final_current_mass_projected,cylinder,0.0,8.0,p004,1.941,0.1439999999999999,155
final_current_mass_projected,cylinder,0.0,8.0,p005,1.826,0.14650000000000007,143
final_current_mass_projected,cylinder,0.0,8.0,p006,1.7580000000000002,0.14300000000000002,147
final_current_mass_projected,cylinder,0.0,8.0,p007,1.8510000000000002,0.14849999999999985,141
final_current_mass_projected,cylinder,0.0,8.0,p008,1.862,0.15100000000000002,137
final_current_mass_projected,cylinder,0.0,8.0,p009,1.915,0.14700000000000002,146
final_current_mass_projected,cylinder,0.0,8.0,p010,1.901,0.14749999999999985,146
final_current_mass_projected,cylinder,0.0,8.0,p011,1.893,0.14649999999999985,146
final_current_mass_projected,cylinder,0.0,8.0,p012,1.941,0.14649999999999996,149
final_current_mass_projected,cylinder,0.0,8.0,p013,1.8590000000000002,0.14449999999999985,149
final_current_mass_projected,cylinder,0.0,8.0,p014,1.8730000000000002,0.14549999999999996,148
final_current_mass_projected,cylinder,0.0,8.0,p015,1.8710000000000002,0.14849999999999985,142
final_current_mass_projected,cylinder,0.0,8.0,p016,1.9340000000000002,0.1499999999999999,142
final_current_mass_projected,cylinder,0.0,8.0,p017,1.905,0.14849999999999997,144
final_current_mass_projected,cylinder,0.0,8.0,p018,1.8850000000000002,0.1479999999999998,143
final_current_mass_projected,cylinder,0.0,8.0,p019,1.8570000000000002,0.14649999999999985,144
final_current_mass_projected,cylinder,0.0,8.0,p020,1.907,0.1499999999999998,141
final_current_mass_projected,cylinder,0.0,8.0,p021,1.9460000000000002,0.14750000000000008,147
final_current_mass_projected,cylinder,0.0,8.0,p022,1.814,0.14149999999999996,153
final_current_mass_projected,cylinder,0.0,8.0,p023,1.7830000000000001,0.14200000000000002,150
final_current_mass_projected,cylinder,0.0,8.0,p024,1.8390000000000002,0.14650000000000007,144
final_current_mass_projected,cylinder,0.0,8.0,p025,1.8770000000000002,0.14849999999999997,142
final_current_mass_projected,cylinder,0.0,8.0,p026,1.8860000000000001,0.1449999999999999,149
final_current_mass_projected,cylinder,0.0,8.0,p027,1.8330000000000002,0.14500000000000002,147
final_current_mass_projected,cylinder,0.0,8.0,p028,1.8370000000000002,0.14800000000000002,140
final_current_mass_projected,cylinder,0.0,8.0,p029,1.9400000000000002,0.14249999999999996,157
final_current_mass_projected,cylinder,0.0,8.0,p030,1.8170000000000002,0.14700000000000002,142
final_current_mass_projected,cylinder,0.0,8.0,p031,1.8780000000000001,0.1499999999999998,139
final_current_mass_3d,sphere,0.0,11.68,none,1.905,0.14100000000000001,158
final_current_mass_projected,cylinder,0.0,11.68,p000,1.913,0.1309999999999999,185
final_current_mass_projected,cylinder,0.0,11.68,p001,1.947,0.12849999999999995,194
final_current_mass_projected,cylinder,0.0,11.68,p002,1.9540000000000002,0.12549999999999994,203
final_current_mass_projected,cylinder,0.0,11.68,p003,1.973,0.126,204
final_current_mass_projected,cylinder,0.0,11.68,p004,1.9760000000000002,0.12849999999999995,197
final_current_mass_projected,cylinder,0.0,11.68,p005,1.9020000000000001,0.12649999999999995,198
final_current_mass_projected,cylinder,0.0,11.68,p006,1.983,0.12650000000000006,204
final_current_mass_projected,cylinder,0.0,11.68,p007,1.983,0.12849999999999995,197
final_current_mass_projected,cylinder,0.0,11.68,p008,1.9340000000000002,0.128,195
final_current_mass_projected,cylinder,0.0,11.68,p009,2.02,0.13050000000000006,193
final_current_mass_projected,cylinder,0.0,11.68,p010,1.8910000000000002,0.127,195
final_current_mass_projected,cylinder,0.0,11.68,p011,1.8840000000000001,0.13,186
final_current_mass_projected,cylinder,0.0,11.68,p012,2.008,0.13149999999999995,190
final_current_mass_projected,cylinder,0.0,11.68,p013,1.9360000000000002,0.1289999999999999,192
final_current_mass_projected,cylinder,0.0,11.68,p014,1.957,0.12949999999999995,192
final_current_mass_projected,cylinder,0.0,11.68,p015,1.8760000000000001,0.13,185
final_current_mass_projected,cylinder,0.0,11.68,p016,1.923,0.1299999999999999,189
final_current_mass_projected,cylinder,0.0,11.68,p017,1.9980000000000002,0.12850000000000006,198
final_current_mass_projected,cylinder,0.0,11.68,p018,1.957,0.12850000000000006,194
final_current_mass_projected,cylinder,0.0,11.68,p019,1.9080000000000001,0.12949999999999984,188
final_current_mass_projected,cylinder,0.0,11.68,p020,1.903,0.131,184
final_current_mass_projected,cylinder,0.0,11.68,p021,2.016,0.13,194
final_current_mass_projected,cylinder,0.0,11.68,p022,1.905,0.1279999999999999,193
final_current_mass_projected,cylinder,0.0,11.68,p023,1.947,0.1289999999999999,193
final_current_mass_projected,cylinder,0.0,11.68,p024,1.935,0.12949999999999995,190
final_current_mass_projected,cylinder,0.0,11.68,p025,1.915,0.12749999999999995,195
final_current_mass_projected,cylinder,0.0,11.68,p026,1.9980000000000002,0.1299999999999999,194
final_current_mass_projected,cylinder,0.0,11.68,p027,1.923,0.12749999999999995,195
final_current_mass_projected,cylinder,0.0,11.68,p028,1.907,0.12750000000000006,194
final_current_mass_projected,cylinder,0.0,11.68,p029,1.969,0.1269999999999999,201
final_current_mass_projected,cylinder,0.0,11.68,p030,1.9360000000000002,0.126,202
