n_stars,softening_rh,seed,initial_alpha_global,final_alpha_global,initial_alpha_contrast_outer_minus_inner,final_alpha_contrast_outer_minus_inner,delta_alpha_contrast,initial_radius_ratio_low_to_high,final_radius_ratio_low_to_high,delta_radius_ratio,relative_energy_error,energy_pass,replicate
128,0.005,2026081300,2.1710000000000003,2.1710000000000003,-0.056999999999999496,0.5710000000000002,0.6279999999999997,0.8265535561403673,1.0771807510060667,0.2506271948656994,-0.00014441096081301173,True,1
128,0.005,2026081301,2.241,2.241,0.2669999999999999,0.4330000000000003,0.16600000000000037,1.1757396514221927,1.270133951245663,0.09439429982347036,-0.000999828501058329,True,2
128,0.005,2026081302,2.727,2.727,0.19499999999999984,0.7909999999999999,0.5960000000000001,1.040671786055153,1.489043237811903,0.44837145175674986,-0.0003165987227667595,True,3
128,0.005,2026081303,2.4939999999999998,2.4939999999999998,-0.3570000000000002,1.0220000000000002,1.3790000000000004,0.7563692749325995,1.227732060739587,0.4713627858069874,-1.0952580593501545e-05,True,4
128,0.005,2026081304,2.412,2.412,0.48800000000000043,0.6769999999999996,0.18899999999999917,1.2419903323544486,1.3370968043825446,0.09510647202809608,-0.00012080076559222335,True,5
128,0.005,2026081305,2.481,2.481,0.23100000000000032,1.088,0.8569999999999998,1.0951035259116364,1.441466721076413,0.34636319516477654,-3.945308855798618e-05,True,6
128,0.005,2026081306,2.3840000000000003,2.3840000000000003,0.31899999999999995,1.2670000000000001,0.9480000000000002,1.0025025740914375,1.5846910796620242,0.5821885055705867,-0.0018518019699252178,False,7
128,0.005,2026081307,2.246,2.246,0.6440000000000001,1.0110000000000001,0.367,1.4264162925775263,2.228274768867577,0.8018584762900507,-0.0007711176138014711,True,8
128,0.01,2026081308,2.245,2.245,0.10499999999999998,0.4710000000000001,0.3660000000000001,0.9381564120487986,1.0741693564992387,0.1360129444504401,-0.0002734153569595362,True,1
128,0.01,2026081309,2.2510000000000003,2.2510000000000003,-0.25,0.5959999999999999,0.8459999999999999,0.8886723970322116,1.208913757365145,0.3202413603329334,-0.0030106815924501765,False,2
128,0.01,2026081310,2.207,2.207,0.7170000000000001,0.6499999999999999,-0.06700000000000017,1.2824704234096522,1.153678575463192,-0.12879184794646026,-0.0011083325930053168,False,3
128,0.01,2026081311,2.34,2.34,0.4910000000000001,0.8440000000000001,0.353,1.282158924975518,1.870193504105824,0.5880345791303059,0.0002736485085710146,True,4
128,0.01,2026081312,2.435,2.435,-0.09099999999999975,0.7110000000000003,0.802,1.0101185227772131,1.2699998404374029,0.25988131766018974,-0.001037810935439791,False,5
128,0.01,2026081313,2.4770000000000003,2.4770000000000003,0.2520000000000002,0.5779999999999998,0.3259999999999996,1.0768757384214538,1.0155894554351623,-0.06128628298629146,-0.0003842210511091792,True,6
128,0.01,2026081314,2.026,2.026,0.2270000000000003,0.363,0.13599999999999968,1.0887531062769842,1.1065365523429984,0.01778344606601423,-0.008564883255980453,False,7
128,0.01,2026081315,2.216,2.216,-0.06300000000000017,0.1509999999999998,0.21399999999999997,0.9386194216803854,1.0508983694267566,0.11227894774637126,-1.0728249254416926e-05,True,8
128,0.02,2026081316,2.21,2.21,-0.20699999999999985,0.7670000000000001,0.974,0.8798574170173586,1.245894881975936,0.36603746495857725,-0.0037848405478303902,False,1
