n_stars,softening_rh,seed,initial_alpha_global,final_alpha_global,initial_alpha_contrast_outer_minus_inner,final_alpha_contrast_outer_minus_inner,delta_alpha_contrast,initial_radius_ratio_low_to_high,final_radius_ratio_low_to_high,delta_radius_ratio,relative_energy_error,energy_pass,replicate
128,0.005,2026081300,2.1710000000000003,2.1710000000000003,-0.056999999999999496,0.3919999999999999,0.4489999999999994,0.8265535561403673,0.9742695463470181,0.14771599020665083,0.0009525564169968463,True,1
128,0.005,2026081301,2.241,2.241,0.2669999999999999,0.30799999999999983,0.040999999999999925,1.1757396514221927,1.2345849459557787,0.058845294533586,0.00030101717593558164,True,2
128,0.005,2026081302,2.727,2.727,0.19499999999999984,1.0500000000000003,0.8550000000000004,1.040671786055153,1.7426002518233696,0.7019284657682165,0.0002092617167981869,True,3
128,0.005,2026081303,2.4939999999999998,2.4939999999999998,-0.3570000000000002,0.8829999999999996,1.2399999999999998,0.7563692749325995,1.3482949587019044,0.5919256837693049,-1.8105953825967262e-05,True,4
128,0.005,2026081304,2.412,2.412,0.48800000000000043,0.34099999999999975,-0.14700000000000069,1.2419903323544486,1.200802369998545,-0.041187962355903496,0.0004492822921103503,True,5
128,0.005,2026081305,2.481,2.481,0.23100000000000032,1.351,1.1199999999999997,1.0951035259116364,1.7270064259117985,0.6319029000001621,-0.0004225302562749371,True,6
128,0.005,2026081306,2.3840000000000003,2.3840000000000003,0.31899999999999995,1.1769999999999998,0.8579999999999999,1.0025025740914375,1.5141345980134258,0.5116320239219883,0.005571439513490076,False,7
128,0.005,2026081307,2.246,2.246,0.6440000000000001,1.1039999999999999,0.45999999999999974,1.4264162925775263,2.0698170117244583,0.643400719146932,-1.9722304388220574e-05,True,8
128,0.01,2026081308,2.245,2.245,0.10499999999999998,0.34299999999999997,0.238,0.9381564120487986,1.0700339362947102,0.1318775242459116,-0.000521414851914257,True,1
128,0.01,2026081309,2.2510000000000003,2.2510000000000003,-0.25,0.6719999999999999,0.9219999999999999,0.8886723970322116,1.2161959902929447,0.3275235932607331,0.0004059911924210146,True,2
128,0.01,2026081310,2.207,2.207,0.7170000000000001,0.7019999999999997,-0.015000000000000346,1.2824704234096522,1.2820364730181515,-0.000433950391500737,-0.000906546827554062,True,3
128,0.01,2026081311,2.34,2.34,0.4910000000000001,0.784,0.2929999999999999,1.282158924975518,1.6646428523006767,0.38248392732515857,-0.0002150843916066253,True,4
128,0.01,2026081312,2.435,2.435,-0.09099999999999975,0.5960000000000001,0.6869999999999998,1.0101185227772131,1.1843540297629418,0.17423550698572865,-0.004353208473127141,False,5
128,0.01,2026081313,2.4770000000000003,2.4770000000000003,0.2520000000000002,0.4670000000000001,0.21499999999999986,1.0768757384214538,1.0718060958552544,-0.0050696425661993505,-0.0002932262601748147,True,6
128,0.01,2026081314,2.026,2.026,0.2270000000000003,0.7289999999999999,0.5019999999999996,1.0887531062769842,1.3088600215384725,0.2201069152614883,-0.008289313260765286,False,7
128,0.01,2026081315,2.216,2.216,-0.06300000000000017,0.09099999999999975,0.15399999999999991,0.9386194216803854,1.0321040813078617,0.09348465962747632,-0.0003936280255546944,True,8
