sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
final_current_mass_projected,cylinder,0.0,4.0,p028,1.8650000000000002,0.1775,99
final_current_mass_projected,cylinder,0.0,4.0,p029,1.9800000000000002,0.19099999999999995,89
final_current_mass_projected,cylinder,0.0,4.0,p030,1.8760000000000001,0.17899999999999994,98
final_current_mass_projected,cylinder,0.0,4.0,p031,1.9060000000000001,0.1875,90
final_current_mass_3d,sphere,0.0,8.0,none,1.9960000000000002,0.1429999999999999,160
final_current_mass_projected,cylinder,0.0,8.0,p000,2.092,0.13249999999999995,194
final_current_mass_projected,cylinder,0.0,8.0,p001,2.0100000000000002,0.13249999999999995,187
final_current_mass_projected,cylinder,0.0,8.0,p002,1.9960000000000002,0.134,182
final_current_mass_projected,cylinder,0.0,8.0,p003,1.9980000000000002,0.13249999999999995,187
final_current_mass_projected,cylinder,0.0,8.0,p004,2.02,0.1359999999999999,179
final_current_mass_projected,cylinder,0.0,8.0,p005,2.057,0.1359999999999999,181
final_current_mass_projected,cylinder,0.0,8.0,p006,2.031,0.13249999999999995,190
final_current_mass_projected,cylinder,0.0,8.0,p007,2.039,0.135,183
final_current_mass_projected,cylinder,0.0,8.0,p008,1.9920000000000002,0.1319999999999999,188
final_current_mass_projected,cylinder,0.0,8.0,p009,2.0140000000000002,0.13550000000000006,180
final_current_mass_projected,cylinder,0.0,8.0,p010,2.1180000000000003,0.13650000000000007,185
final_current_mass_projected,cylinder,0.0,8.0,p011,2.086,0.13349999999999995,191
final_current_mass_projected,cylinder,0.0,8.0,p012,2.04,0.1329999999999999,188
final_current_mass_projected,cylinder,0.0,8.0,p013,1.975,0.13000000000000012,193
final_current_mass_projected,cylinder,0.0,8.0,p014,2.051,0.133,190
final_current_mass_projected,cylinder,0.0,8.0,p015,2.111,0.13349999999999995,192
final_current_mass_projected,cylinder,0.0,8.0,p016,2.05,0.13250000000000006,190
final_current_mass_projected,cylinder,0.0,8.0,p017,1.983,0.13050000000000006,192
final_current_mass_projected,cylinder,0.0,8.0,p018,2.036,0.13400000000000012,185
final_current_mass_projected,cylinder,0.0,8.0,p019,2.1180000000000003,0.133,194
final_current_mass_projected,cylinder,0.0,8.0,p020,2.058,0.13250000000000006,191
final_current_mass_projected,cylinder,0.0,8.0,p021,2.003,0.13149999999999995,189
final_current_mass_projected,cylinder,0.0,8.0,p022,2.012,0.13300000000000012,186
final_current_mass_projected,cylinder,0.0,8.0,p023,2.046,0.13049999999999995,196
final_current_mass_projected,cylinder,0.0,8.0,p024,2.074,0.13600000000000012,183
final_current_mass_projected,cylinder,0.0,8.0,p025,1.971,0.12950000000000006,193
final_current_mass_projected,cylinder,0.0,8.0,p026,2.003,0.13400000000000012,182
final_current_mass_projected,cylinder,0.0,8.0,p027,2.111,0.136,185
final_current_mass_projected,cylinder,0.0,8.0,p028,2.05,0.133,189
final_current_mass_projected,cylinder,0.0,8.0,p029,2.036,0.13549999999999995,182
final_current_mass_projected,cylinder,0.0,8.0,p030,2.031,0.135,182
