sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.012,0.10550000000000015,296
final_survivors_birth_mass,global,0.0,inf,none,2.012,0.10550000000000015,296
final_survivors_current_mass,global,0.0,inf,none,1.895,0.10000000000000009,314
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,6
final_current_mass_projected,cylinder,0.0,2.0,p000,1.4920000000000002,0.32300000000000006,27
final_current_mass_projected,cylinder,0.0,2.0,p001,1.477,0.28300000000000003,35
final_current_mass_projected,cylinder,0.0,2.0,p002,1.163,0.2995000000000001,30
final_current_mass_projected,cylinder,0.0,2.0,p003,1.5270000000000001,0.31299999999999994,29
final_current_mass_projected,cylinder,0.0,2.0,p004,1.223,0.32200000000000006,26
final_current_mass_projected,cylinder,0.0,2.0,p005,1.425,0.3560000000000001,22
final_current_mass_projected,cylinder,0.0,2.0,p006,1.391,0.26949999999999996,38
final_current_mass_projected,cylinder,0.0,2.0,p007,1.451,0.32800000000000007,26
final_current_mass_projected,cylinder,0.0,2.0,p008,1.6150000000000002,0.32800000000000007,27
final_current_mass_projected,cylinder,0.0,2.0,p009,1.3490000000000002,0.31300000000000006,28
final_current_mass_projected,cylinder,0.0,2.0,p010,1.5130000000000001,0.3365,25
final_current_mass_projected,cylinder,0.0,2.0,p011,1.381,0.3255,26
final_current_mass_projected,cylinder,0.0,2.0,p012,1.6660000000000001,0.34999999999999987,24
final_current_mass_projected,cylinder,0.0,2.0,p013,1.5930000000000002,0.30999999999999994,30
final_current_mass_projected,cylinder,0.0,2.0,p014,1.296,0.33700000000000013,24
final_current_mass_projected,cylinder,0.0,2.0,p015,1.542,0.2855000000000001,35
final_current_mass_projected,cylinder,0.0,2.0,p016,1.4320000000000002,0.3335,25
final_current_mass_projected,cylinder,0.0,2.0,p017,1.874,0.3355,28
final_current_mass_projected,cylinder,0.0,2.0,p018,1.1860000000000002,0.31600000000000006,27
