sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
final_current_mass_projected,cylinder,0.0,8.0,p002,1.6380000000000001,0.19399999999999995,77
final_current_mass_projected,cylinder,0.0,8.0,p003,1.669,0.1905,81
final_current_mass_projected,cylinder,0.0,8.0,p004,1.624,0.1995,73
final_current_mass_projected,cylinder,0.0,8.0,p005,1.524,0.2025,69
final_current_mass_projected,cylinder,0.0,8.0,p006,1.6500000000000001,0.1985,74
final_current_mass_projected,cylinder,0.0,8.0,p007,1.538,0.1905,78
final_current_mass_projected,cylinder,0.0,8.0,p008,1.5010000000000001,0.1975,72
final_current_mass_projected,cylinder,0.0,8.0,p009,1.7020000000000002,0.20899999999999996,68
final_current_mass_projected,cylinder,0.0,8.0,p010,1.705,0.19900000000000007,75
final_current_mass_projected,cylinder,0.0,8.0,p011,1.616,0.19900000000000007,73
final_current_mass_projected,cylinder,0.0,8.0,p012,1.689,0.2025,72
final_current_mass_projected,cylinder,0.0,8.0,p013,1.4180000000000001,0.21300000000000008,61
final_current_mass_projected,cylinder,0.0,8.0,p014,1.671,0.22499999999999998,58
final_current_mass_projected,cylinder,0.0,8.0,p015,1.596,0.21050000000000002,65
final_current_mass_projected,cylinder,0.0,8.0,p016,1.6030000000000002,0.20400000000000007,69
final_current_mass_projected,cylinder,0.0,8.0,p017,1.469,0.21750000000000003,59
final_current_mass_projected,cylinder,0.0,8.0,p018,1.6740000000000002,0.22499999999999998,58
final_current_mass_projected,cylinder,0.0,8.0,p019,1.681,0.21799999999999997,62
final_current_mass_projected,cylinder,0.0,8.0,p020,1.661,0.2015,72
final_current_mass_projected,cylinder,0.0,8.0,p021,1.5950000000000002,0.21499999999999997,62
final_current_mass_projected,cylinder,0.0,8.0,p022,1.479,0.21799999999999997,59
final_current_mass_projected,cylinder,0.0,8.0,p023,1.618,0.20750000000000002,67
final_current_mass_projected,cylinder,0.0,8.0,p024,1.59,0.19799999999999995,73
final_current_mass_projected,cylinder,0.0,8.0,p025,1.4980000000000002,0.19900000000000007,71
final_current_mass_projected,cylinder,0.0,8.0,p026,1.695,0.20999999999999996,67
final_current_mass_projected,cylinder,0.0,8.0,p027,1.6250000000000002,0.2005,72
final_current_mass_projected,cylinder,0.0,8.0,p028,1.739,0.1955,78
final_current_mass_projected,cylinder,0.0,8.0,p029,1.639,0.1945,77
final_current_mass_projected,cylinder,0.0,8.0,p030,1.5070000000000001,0.19899999999999995,71
final_current_mass_projected,cylinder,0.0,8.0,p031,1.671,0.1965,76
final_current_mass_3d,sphere,0.0,11.68,none,1.568,0.1905,79
final_current_mass_projected,cylinder,0.0,11.68,p000,1.667,0.16949999999999998,102
final_current_mass_projected,cylinder,0.0,11.68,p001,1.677,0.18000000000000005,91
final_current_mass_projected,cylinder,0.0,11.68,p002,1.707,0.16900000000000004,104
final_current_mass_projected,cylinder,0.0,11.68,p003,1.7910000000000001,0.16400000000000003,113
final_current_mass_projected,cylinder,0.0,11.68,p004,1.639,0.16249999999999998,110
final_current_mass_projected,cylinder,0.0,11.68,p005,1.6900000000000002,0.16649999999999998,106
final_current_mass_projected,cylinder,0.0,11.68,p006,1.7670000000000001,0.16400000000000003,112
final_current_mass_projected,cylinder,0.0,11.68,p007,1.5470000000000002,0.16400000000000003,105
final_current_mass_projected,cylinder,0.0,11.68,p008,1.786,0.16449999999999998,112
final_current_mass_projected,cylinder,0.0,11.68,p009,1.681,0.16749999999999998,105
final_current_mass_projected,cylinder,0.0,11.68,p010,1.6980000000000002,0.16649999999999998,107
final_current_mass_projected,cylinder,0.0,11.68,p011,1.768,0.16700000000000004,108
final_current_mass_projected,cylinder,0.0,11.68,p012,1.6310000000000002,0.16849999999999998,102
final_current_mass_projected,cylinder,0.0,11.68,p013,1.639,0.17149999999999999,99
final_current_mass_projected,cylinder,0.0,11.68,p014,1.645,0.17600000000000005,94
final_current_mass_projected,cylinder,0.0,11.68,p015,1.641,0.16799999999999993,103
final_current_mass_projected,cylinder,0.0,11.68,p016,1.665,0.17100000000000004,100
final_current_mass_projected,cylinder,0.0,11.68,p017,1.62,0.16449999999999998,107
final_current_mass_projected,cylinder,0.0,11.68,p018,1.6280000000000001,0.1765,93
final_current_mass_projected,cylinder,0.0,11.68,p019,1.7280000000000002,0.16799999999999993,106
final_current_mass_projected,cylinder,0.0,11.68,p020,1.6660000000000001,0.16499999999999992,107
final_current_mass_projected,cylinder,0.0,11.68,p021,1.5950000000000002,0.1635000000000001,107
final_current_mass_projected,cylinder,0.0,11.68,p022,1.6520000000000001,0.1745,96
final_current_mass_projected,cylinder,0.0,11.68,p023,1.717,0.16749999999999998,106
final_current_mass_projected,cylinder,0.0,11.68,p024,1.6300000000000001,0.16549999999999998,106
final_current_mass_projected,cylinder,0.0,11.68,p025,1.7320000000000002,0.16599999999999993,108
final_current_mass_projected,cylinder,0.0,11.68,p026,1.713,0.16800000000000004,105
final_current_mass_projected,cylinder,0.0,11.68,p027,1.669,0.16449999999999998,108
final_current_mass_projected,cylinder,0.0,11.68,p028,1.7790000000000001,0.15999999999999992,118
final_current_mass_projected,cylinder,0.0,11.68,p029,1.56,0.1655000000000001,104
final_current_mass_projected,cylinder,0.0,11.68,p030,1.7160000000000002,0.16800000000000004,105
final_current_mass_projected,cylinder,0.0,11.68,p031,1.699,0.16700000000000004,106
final_current_mass_3d,sphere,0.0,20.0,none,1.717,0.15650000000000008,121
final_current_mass_projected,cylinder,0.0,20.0,p000,1.776,0.1479999999999999,138
final_current_mass_projected,cylinder,0.0,20.0,p001,1.8870000000000002,0.1469999999999999,145
final_current_mass_projected,cylinder,0.0,20.0,p002,1.774,0.14249999999999996,149
final_current_mass_projected,cylinder,0.0,20.0,p003,1.83,0.14149999999999996,153
final_current_mass_projected,cylinder,0.0,20.0,p004,1.836,0.14250000000000007,152
final_current_mass_projected,cylinder,0.0,20.0,p005,1.8310000000000002,0.14250000000000007,151
final_current_mass_projected,cylinder,0.0,20.0,p006,1.864,0.14500000000000002,148
final_current_mass_projected,cylinder,0.0,20.0,p007,1.7460000000000002,0.13550000000000006,163
final_current_mass_projected,cylinder,0.0,20.0,p008,1.8690000000000002,0.14900000000000002,141
final_current_mass_projected,cylinder,0.0,20.0,p009,1.838,0.14450000000000007,148
final_current_mass_projected,cylinder,0.0,20.0,p010,1.7950000000000002,0.14300000000000002,149
final_current_mass_projected,cylinder,0.0,20.0,p011,1.79,0.15100000000000002,133
final_current_mass_projected,cylinder,0.0,20.0,p012,1.78,0.14500000000000002,144
final_current_mass_projected,cylinder,0.0,20.0,p013,1.784,0.14600000000000002,142
final_current_mass_projected,cylinder,0.0,20.0,p014,1.909,0.14849999999999997,144
final_current_mass_projected,cylinder,0.0,20.0,p015,1.7990000000000002,0.14349999999999996,148
