sample,geometry,radius_inner_pc,radius_pc,projection,alpha,alpha_err,n
initial_global_birth_mass,global,0.0,inf,none,2.1100000000000003,0.1120000000000001,274
final_survivors_birth_mass,global,0.0,inf,none,2.1100000000000003,0.1120000000000001,274
final_survivors_current_mass,global,0.0,inf,none,1.931,0.10299999999999998,299
final_current_mass_3d,sphere,0.0,2.0,none,nan,nan,3
final_current_mass_projected,cylinder,0.0,2.0,p000,2.004,0.487,14
final_current_mass_projected,cylinder,0.0,2.0,p001,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p002,1.657,0.5439999999999999,10
final_current_mass_projected,cylinder,0.0,2.0,p003,1.7400000000000002,0.4345,16
final_current_mass_projected,cylinder,0.0,2.0,p004,1.5790000000000002,0.45399999999999985,14
final_current_mass_projected,cylinder,0.0,2.0,p005,1.665,0.4295,16
final_current_mass_projected,cylinder,0.0,2.0,p006,2.119,0.5915,10
final_current_mass_projected,cylinder,0.0,2.0,p007,1.4160000000000001,0.4635000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p008,1.4200000000000002,0.4825000000000001,12
final_current_mass_projected,cylinder,0.0,2.0,p009,1.7140000000000002,0.5005000000000001,12
final_current_mass_projected,cylinder,0.0,2.0,p010,2.2230000000000003,0.4774999999999999,16
final_current_mass_projected,cylinder,0.0,2.0,p011,2.301,0.5400000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p012,1.4060000000000001,0.46250000000000013,13
final_current_mass_projected,cylinder,0.0,2.0,p013,nan,nan,7
final_current_mass_projected,cylinder,0.0,2.0,p014,1.3150000000000002,0.4785000000000001,12
final_current_mass_projected,cylinder,0.0,2.0,p015,1.622,0.4740000000000001,13
final_current_mass_projected,cylinder,0.0,2.0,p016,2.206,0.6030000000000001,10
final_current_mass_projected,cylinder,0.0,2.0,p017,1.4420000000000002,0.48350000000000004,12
final_current_mass_projected,cylinder,0.0,2.0,p018,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p019,1.6280000000000001,0.45699999999999985,14
final_current_mass_projected,cylinder,0.0,2.0,p020,nan,nan,9
final_current_mass_projected,cylinder,0.0,2.0,p021,1.457,0.44799999999999995,14
final_current_mass_projected,cylinder,0.0,2.0,p022,1.7570000000000001,0.526,11
final_current_mass_projected,cylinder,0.0,2.0,p023,2.253,0.5140000000000001,14
final_current_mass_projected,cylinder,0.0,2.0,p024,1.6,0.4254999999999999,16
final_current_mass_projected,cylinder,0.0,2.0,p025,nan,nan,8
final_current_mass_projected,cylinder,0.0,2.0,p026,2.176,0.5245,13
final_current_mass_projected,cylinder,0.0,2.0,p027,1.356,0.48000000000000004,12
final_current_mass_projected,cylinder,0.0,2.0,p028,2.22,0.5515,12
final_current_mass_projected,cylinder,0.0,2.0,p029,1.6090000000000002,0.372,21
final_current_mass_projected,cylinder,0.0,2.0,p030,1.073,0.42300000000000004,15
final_current_mass_projected,cylinder,0.0,2.0,p031,1.5610000000000002,0.48950000000000005,12
final_current_mass_3d,sphere,0.0,4.0,none,2.206,0.47499999999999987,16
