r_lo,r_hi,n,alpha,alpha_err,median_mass
0.0,1.0,243,1.772640405604116,0.11179828608133725,0.4744127845681963
1.0,2.0,242,2.0104473640619256,0.11695007978941073,0.4044038703231284
2.0,3.0,125,2.1505745816235278,0.1675744978473842,0.3938278069974216
3.0,5.1,84,2.2872762865240945,0.21088259153308161,0.34933130640731624
