n_stars,softening_rh,seed,initial_alpha_global,final_alpha_global,initial_alpha_contrast_outer_minus_inner,final_alpha_contrast_outer_minus_inner,delta_alpha_contrast,initial_radius_ratio_low_to_high,final_radius_ratio_low_to_high,delta_radius_ratio,relative_energy_error,energy_pass,replicate
1024,0.005,2026081300,2.2880000000000003,2.2880000000000003,-0.04999999999999982,0.15200000000000014,0.20199999999999996,0.954445747348889,1.0138454818459286,0.059399734497039614,1.639015876962496e-05,True,1
1024,0.005,2026081301,2.221,2.221,-0.016000000000000014,0.029999999999999805,0.04599999999999982,0.981432665324049,0.9664536912309682,-0.014978974093080799,-1.210795679248718e-05,True,2
1024,0.005,2026081302,2.3529999999999998,2.3529999999999998,-0.16500000000000004,0.04900000000000038,0.2140000000000004,0.9626195593818068,1.022564428812306,0.05994486943049915,-0.00013540469104792504,True,3
1024,0.005,2026081303,2.364,2.364,0.25,0.33599999999999985,0.08599999999999985,1.1086327222772978,1.165250908212188,0.05661818593489021,-0.00013855165281548632,True,4
1024,0.005,2026081304,2.354,2.354,0.05799999999999983,0.30200000000000005,0.24400000000000022,1.01351333139701,1.038313215750862,0.024799884353852164,-1.9476625067353998e-05,True,5
1024,0.005,2026081305,2.27,2.27,0.0,0.11800000000000033,0.11800000000000033,0.9860622476262779,1.0609468234079535,0.07488457578167562,-0.00046771695368257325,True,6
1024,0.005,2026081306,2.367,2.367,-0.10899999999999999,0.19799999999999995,0.30699999999999994,0.967319419889869,1.0773233163379197,0.11000389644805064,-9.567985129720084e-05,True,7
1024,0.005,2026081307,2.241,2.241,-0.07500000000000018,0.08700000000000019,0.16200000000000037,0.9738013469521959,1.0118433651275829,0.038042018175386993,-1.3114471674152093e-05,True,8
1024,0.01,2026081308,2.324,2.324,-0.08499999999999996,0.16300000000000026,0.24800000000000022,0.9555809992894329,1.028912424241071,0.07333142495163814,-7.931554922635147e-05,True,1
1024,0.01,2026081309,2.342,2.342,-0.11400000000000032,0.019000000000000128,0.13300000000000045,0.9667739480374368,1.0271248281247907,0.0603508800873539,1.463656886192947e-07,True,2
1024,0.01,2026081310,2.135,2.135,0.11099999999999977,0.21299999999999963,0.10199999999999987,1.0037875504748461,1.0526066479832703,0.04881909750842417,0.001971723429771509,False,3
1024,0.01,2026081311,2.3920000000000003,2.3920000000000003,-0.14100000000000001,0.13500000000000023,0.27600000000000025,0.9415039588181033,1.0264194792760133,0.08491552045790995,-8.814812303813165e-05,True,4
1024,0.01,2026081312,2.335,2.335,0.0349999999999997,0.1980000000000004,0.1630000000000007,1.0175342693301492,1.0634086638318554,0.04587439450170616,0.00037852092292901595,True,5
1024,0.01,2026081313,2.375,2.375,-0.03400000000000025,0.04400000000000048,0.07800000000000074,1.0048333425445013,1.025540305773759,0.020706963229257802,-3.460267758009325e-06,True,6
1024,0.01,2026081314,2.223,2.223,0.28200000000000003,0.5350000000000001,0.2530000000000001,1.153922529163234,1.2150537966250015,0.06113126746176745,2.3313139668154323e-05,True,7
1024,0.01,2026081315,2.357,2.357,0.1120000000000001,0.20999999999999996,0.09799999999999986,1.0082807171157915,1.099569636991419,0.09128891987562748,-0.0010700174105622417,False,8
2048,0.005,2026081316,2.261,2.261,-0.0519999999999996,0.10099999999999998,0.15299999999999958,0.9538584997766649,1.0162951576918602,0.06243665791519526,4.132743417110057e-05,True,1
2048,0.005,2026081317,2.247,2.247,-0.06500000000000039,0.06299999999999972,0.1280000000000001,0.9725247021512867,1.009305866691922,0.03678116454063518,-1.4196459533363047e-05,True,2
2048,0.005,2026081318,2.325,2.325,-0.08300000000000018,0.01200000000000001,0.0950000000000002,0.9459193619894125,0.959472202284419,0.013552840295006474,6.155858422995482e-05,True,3
2048,0.005,2026081319,2.262,2.262,-0.05500000000000016,0.06599999999999984,0.121,0.9951385945590244,1.023941695163487,0.02880310060446256,0.0010408397309709942,False,4
2048,0.005,2026081320,2.1959999999999997,2.1959999999999997,0.08499999999999996,0.10599999999999987,0.020999999999999908,1.0439810085932861,1.079955854563151,0.03597484596986478,-3.749239469592357e-05,True,5
2048,0.005,2026081321,2.306,2.306,0.09699999999999998,0.06499999999999995,-0.03200000000000003,1.0295631821810851,1.040815834612706,0.01125265243162099,-0.0020991371539702862,False,6
2048,0.005,2026081322,2.2800000000000002,2.2800000000000002,-0.03799999999999981,-0.02400000000000002,0.01399999999999979,0.9834794927991939,1.0015283068896894,0.018048814090495524,-5.019647302908212e-05,True,7
2048,0.005,2026081323,2.358,2.358,-0.07599999999999962,0.08499999999999996,0.1609999999999996,0.9239263366754008,1.012559955639695,0.08863361896429411,0.0001335475545107824,True,8
2048,0.01,2026081324,2.276,2.276,-0.11900000000000022,-0.017999999999999794,0.10100000000000042,0.9619200216203087,0.9897939137297765,0.02787389210946789,-6.653060708790583e-05,True,1
