source_id _x _y pmRA pmDE Plx e_pmRA e_pmDE e_Plx Gmag BP_RP RUWE probs_final
45034213864096640 -0.332403717544851 -4.76786537393587 23.99198439668774 -59.65390243137493 5.2168172666876345 0.107535966 0.07436208 0.088100076 16.944248 2.676938 0.9611635 0.0
50801083633021056 1.0041443721632173 -4.811657359854194 -0.6160579108196043 -29.708316782629 6.707382957995034 0.112330936 0.07391647 0.09345241 16.212294 2.6702766 2.065777 0.0
50804377871163008 0.9687518002350503 -4.771707151408366 19.384578984323174 -43.78130234766476 7.393642304233989 0.2823183 0.19944869 0.2513424 18.777998 3.4662952 1.0374584 0.9751
50931272681618304 1.5186100962325804 -4.353100193498007 75.49162910586058 -17.899517895061244 12.593554441160357 0.037382897 0.020509383 0.027524438 14.701429 2.60254 1.0673144 0.0
50970717660507008 0.08429040380115248 -4.937212149075364 25.190273705018832 -22.83485479563965 6.522595799432474 0.12324158 0.091231406 0.107830465 17.389149 2.942274 1.0296372 0.0
50980299731387264 0.29935519842345587 -4.77784967439926 47.3073660223242 -0.9161731773459869 7.050396790887722 0.260658 0.18159567 0.2222426 18.48167 3.3499012 0.99884474 0.0
51020294466833664 0.13254480469384083 -4.815978832564428 0.5764754357393684 2.9004040067313026 9.692585100648575 0.13502239 0.08635864 0.114771836 17.068586 3.1752186 1.0262486 0.0
51046751465520128 0.1029960551737707 -4.498029591362363 11.658556332581938 -2.6173855354941127 5.19170036942141 0.1869141 0.12634294 0.156502 18.191 3.4125671 0.9943037 0.0
51145913670355200 1.1156133111938382 -3.9907758427310083 30.53180096467341 -33.471544737241146 13.80143370417686 0.76528525 0.44850802 0.59970003 18.955616 4.028084 2.3140666 0.0
51163338354705536 0.6144234265036396 -4.169561990665531 20.561736811832716 -42.7707866337348 4.312573323273697 0.19830151 0.14129949 0.16806863 18.12231 2.7110615 0.9853157 0.0
51167736401195264 0.8541020841879113 -4.094792615988606 -21.541176904417785 -41.27884095994627 5.099682651561907 0.077300034 0.04518894 0.06177522 16.123745 2.435999 1.0482718 0.0
51200343792868096 0.977770497429013 -3.7891281398579237 21.82719925998928 -50.27707923289776 8.136098565851023 0.26621148 0.17402501 0.21675938 18.629 3.512085 1.0195423 0.7931
51200962268161792 0.9564773587846418 -3.7996862909820432 16.010023458791647 -37.36888771382217 6.814552433916798 0.063705385 0.036628935 0.048894025 16.033909 2.7016487 0.99769145 0.395
51206184948357376 1.216104278559071 -3.6552809347748183 -15.527128644639982 2.1933928593950247 5.401660390100053 0.38387692 0.25701457 0.3410749 15.509036 2.2048817 10.295587 0.0
51227006949797248 1.0429775341084222 -3.4507643673929222 24.880967372512753 1.4206883623430797 4.233608969538981 0.01822884 0.010915916 0.014598056 12.643731 1.0271473 1.0175016 0.0
51228381339331072 0.983376108200192 -3.3962275904162658 0.22252267381670643 -5.659049830210478 4.846617908454157 0.08527288 0.06679855 0.076344155 16.566435 2.730877 1.0809163 0.0005
51259751780523520 2.2415118283249473 -4.167318284320825 -8.764957062509504 -25.159926280095473 4.185663927129408 0.026396712 0.017884001 0.022728173 14.256466 1.658103 1.0759139 0.0
51334484211434624 2.3102812117279066 -3.942725843216471 0.968459672282838 -16.757398674603877 4.35228483352716 0.13854073 0.081970364 0.116109416 11.762449 1.0336561 6.7654047 0.0251
51340394086422528 2.1947255167496613 -3.7988345715488316 2.6010546311673775 -88.97652684626865 4.755170332425048 0.041731503 0.028275283 0.03575003 15.399315 2.1077175 1.0518169 0.0
51340527228667648 2.219009199317557 -3.7830364107297227 15.717206644862888 -4.164210976291203 6.122180929994222 0.3356318 0.23494242 0.3084966 18.975681 3.1005306 1.0191591 0.0
51357814473650816 2.098417431973475 -3.641803183032238 49.384467304469915 -55.587738791887595 4.739149690175246 0.061933707 0.03653322 0.046986125 15.879215 2.4554005 1.0665388 0.0
51359876057944448 2.1606731313447956 -3.582050118864857 9.682369223694847 -5.994249754835424 4.353934054490371 0.24346854 0.14464284 0.20114173 18.15418 2.910843 1.0999073 0.0005
51363655629145216 2.4351102093473975 -3.4831564647359556 22.851328835386465 15.587224713558786 4.301862874338532 0.42339084 0.22745752 0.14961085 12.982203 1.3914671 7.564224 0.0
51369428065705600 3.004408139485726 -3.931299945021963 5.331268947011667 -14.049277917458054 8.151875074756095 0.108490944 0.06448857 0.09375285 16.969875 3.5475864 1.095093 0.0829
51493707239215104 2.730951193824022 -3.121796616708943 -14.13878265274634 44.114578213664714 7.513009462989231 0.07538663 0.050725427 0.066360325 16.68735 2.6630735 0.99367297 0.0
51556929157957120 2.245976844995941 -3.361095395490186 13.26983883335251 -31.149742982773674 5.269045109922116 0.14263968 0.09555537 0.11717496 17.390207 3.093254 1.1143762 0.0015
51593762797288576 1.3810258235832107 -3.4190567556707654 -8.800041015251113 -13.00797548163865 5.878407932323142 0.036217555 0.021103706 0.031138105 14.965019 2.1556797 0.9932995 0.0
51618982845331328 1.6955929271038777 -3.2124907989631715 -3.688055016343079 -9.776497147595483 4.956243226238503 0.7165093 0.3962328 0.5443046 17.273668 1.7783222 5.7848797 0.0049
51625094581936256 1.8292088723159994 -3.1286797239336184 13.95861301332782 -46.5895659831272 8.48155487794792 0.1458645 0.094291225 0.1243903 17.732468 3.3140678 1.03921 0.0
51644718289310720 1.7654005982168273 -2.9008370369546417 1.2231904066372516 30.762706091596407 4.8081773931389895 0.09991973 0.065811805 0.083529145 17.184004 2.9275637 1.0638359 0.0
