n_stars,softening_rh,n_runs,median_delta_alpha_contrast,p16_delta_alpha_contrast,p84_delta_alpha_contrast,fraction_positive_delta_alpha_contrast,median_delta_radius_ratio,fraction_positive_delta_radius_ratio,max_absolute_energy_error,fraction_energy_pass,n_energy_pass,median_delta_alpha_contrast_energy_pass,fraction_positive_delta_alpha_contrast_energy_pass,median_delta_radius_ratio_energy_pass,fraction_positive_delta_radius_ratio_energy_pass
all,all,32,0.11950000000000016,0.02196000000000023,0.2152000000000004,0.9375,0.03741159135801109,0.9375,0.0020991371539702862,0.875,28,0.13050000000000028,0.9642857142857143,0.03741159135801109,0.9285714285714286
1024,0.005,8,0.18200000000000016,0.08983999999999992,0.24040000000000022,1.0,0.05800896021596491,0.875,0.00046771695368257325,1.0,8,0.18200000000000016,1.0,0.05800896021596491,0.875
1024,0.01,8,0.14800000000000058,0.09847999999999986,0.2524000000000001,1.0,0.06074107377456067,1.0,0.001971723429771509,0.75,6,0.20550000000000046,1.0,0.06074107377456067,1.0
2048,0.005,8,0.1080000000000001,0.014839999999999805,0.14999999999999963,0.875,0.03238897328716367,1.0,0.0020991371539702862,0.75,6,0.11150000000000015,1.0,0.03637800525524998,1.0
2048,0.01,8,0.050999999999999934,0.006159999999999643,0.13620000000000007,0.875,0.024585158494754455,0.875,0.0002582716470782281,1.0,8,0.050999999999999934,0.875,0.024585158494754455,0.875
