mass_lo_msun,mass_hi_msun,radius_lo_deg,radius_hi_deg,radius_lo_pc,radius_hi_pc,area_pc2,n_raw,n_weighted,surface_density_pc2,surface_density_err_pc2,model_expected_weighted,model_standardized_residual
0.3,0.5,0.0,0.5,0.0,1.1823541338833081,4.391824943519885,25,24.998600000000003,5.692075690968809,1.1384151409626977,28.98387301752072,-0.7402524775938443
0.3,0.5,0.5,1.0,1.1823541338833081,2.3648883734590367,13.178150924878151,62,61.90219999999999,4.697335791103968,0.5965777716164713,58.45404129653657,0.4510035654400485
0.3,0.5,1.0,1.5,2.3648883734590367,3.5477829341769174,21.972508654905262,54,53.991499999999995,2.45722966129981,0.33438661891475074,55.836897213914895,-0.24696148165949952
0.3,0.5,1.5,2.0,3.5477829341769174,4.731218251143465,30.780264192796476,45,44.93699999999999,1.4599289895151915,0.21764117078597062,43.76767984384846,0.1767488811883184
0.3,0.5,2.0,3.0,4.731218251143465,7.100434654065045,88.06432773033433,55,54.61419999999998,0.6201625721510818,0.08364256828807083,54.429252996085076,0.025068659603826243
0.3,0.5,3.0,4.0,7.100434654065045,9.473989655056004,123.59122168371948,25,24.7036,0.19988150989573214,0.04000046279939582,25.34460091639842,-0.127325655841537
0.3,0.5,4.0,5.1,9.473989655056004,12.091657370471706,177.3482396590711,13,12.4784,0.0703610028720223,0.01955732137552153,10.80915471569584,0.507720023461644
0.5,0.8,0.0,0.5,0.0,1.1823541338833081,4.391824943519885,31,30.9298,7.042584893015092,1.2649779509020647,25.334566113384483,1.1116332022010582
0.5,0.8,0.5,1.0,1.1823541338833081,2.3648883734590367,13.178150924878151,39,38.998099999999994,2.959299845805991,0.47386722157811095,48.38377539934699,-1.3493221618633693
0.5,0.8,1.0,1.5,2.3648883734590367,3.5477829341769174,21.972508654905262,43,42.809599999999996,1.9483255495472498,0.2972230241270022,43.49830419569712,-0.10442309610770531
0.5,0.8,1.5,2.0,3.5477829341769174,4.731218251143465,30.780264192796476,32,31.6494,1.0282367884095982,0.18189154942117988,32.55246820055969,-0.1582809281273526
0.5,0.8,2.0,3.0,4.731218251143465,7.100434654065045,88.06432773033433,41,40.813599999999994,0.4634521270062621,0.07238855999326024,38.810595069785414,0.32151916657500434
0.5,0.8,3.0,4.0,7.100434654065045,9.473989655056004,123.59122168371948,20,19.6219,0.15876451201537697,0.035573647525852146,17.421609510127894,0.5271520309488336
0.5,0.8,4.0,5.1,9.473989655056004,12.091657370471706,177.3482396590711,9,8.451,0.047652009494122675,0.01594018623515208,7.272081511098396,0.43717408495054927
0.8,1.2,0.0,0.5,0.0,1.1823541338833081,4.391824943519885,17,16.9994,3.8706916187728586,0.9387806121540102,17.69908082319548,-0.16631239385743152
0.8,1.2,0.5,1.0,1.1823541338833081,2.3648883734590367,13.178150924878151,36,35.508799999999994,2.6945206654876976,0.449609976926359,30.82891481837117,0.842861233029869
0.8,1.2,1.0,1.5,2.3648883734590367,3.5477829341769174,21.972508654905262,28,27.9913,1.2739237216662136,0.2407490131921453,25.036555616263403,0.5905172999789379
0.8,1.2,1.5,2.0,3.5477829341769174,4.731218251143465,30.780264192796476,14,13.985000000000001,0.4543495764819627,0.12143076685879156,17.369111684499078,-0.8119997276837889
0.8,1.2,2.0,3.0,4.731218251143465,7.100434654065045,88.06432773033433,19,18.639,0.2116521011444646,0.04860206134270785,19.376147103648545,-0.16746361114180763
0.8,1.2,3.0,4.0,7.100434654065045,9.473989655056004,123.59122168371948,9,8.7324,0.07065550353039603,0.023571005978634662,8.221747244259927,0.17809167525615438
0.8,1.2,4.0,5.1,9.473989655056004,12.091657370471706,177.3482396590711,0,0.0,0.0,0.0,3.3243427097623903,-1.8232780121973693
1.2,2.5,0.0,0.5,0.0,1.1823541338833081,4.391824943519885,13,12.918800000000001,2.9415562246080924,0.8159479087183027,14.928637746451018,-0.5201767159939088
1.2,2.5,0.5,1.0,1.1823541338833081,2.3648883734590367,13.178150924878151,20,19.9794,1.5161004084633924,0.33901237155433595,22.383049074298388,-0.5080558293993124
1.2,2.5,1.0,1.5,2.3648883734590367,3.5477829341769174,21.972508654905262,13,12.997100000000001,0.5915164355663348,0.16405715307434965,15.371373904694266,-0.6055841166060075
1.2,2.5,1.5,2.0,3.5477829341769174,4.731218251143465,30.780264192796476,13,12.9712,0.4214128871264093,0.11688076343810815,9.430108573333378,1.1531313870663407
1.2,2.5,2.0,3.0,4.731218251143465,7.100434654065045,88.06432773033433,10,9.9975,0.11352496814162696,0.03589974743071585,9.48252582456943,0.1672335595674889
1.2,2.5,3.0,4.0,7.100434654065045,9.473989655056004,123.59122168371948,4,3.9873000000000003,0.03226200004886951,0.01613115803552388,3.694222112333409,0.15248304323863623
1.2,2.5,4.0,5.1,9.473989655056004,12.091657370471706,177.3482396590711,4,3.865,0.021793280877385416,0.010902980419377335,1.4263827643201197,2.041858290443145
